"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",221122,520,504,479,590,711,760,744,617,608,714,779,784,0.000541196217323281,0.174054194712667,-0.0307692307692308,-0.0496031746031746,0.231732776617954,0.205084745762712,0.0689170182841068,-0.0210526315789473,-0.170698924731183,-0.0145867098865479,0.174342105263158,0.0910364145658262,0.00130272529219754,-0.0387816747357892,0.00570630807835726,0.0277865218984317,0.0297867853619227,-0.0648665515997231,-0.01037310864782,-0.00401202289724423,0.00729728157085963,-0.0153579540232903,0.00639206818206062,0.000665240412640347,"Electric Power Distribution","2"
"Austin",221210,424,356,112,276,313,138,135,269,318,335,400,465,0.000277892794517731,0.37723742655395,-0.160377358490566,-0.685393258426966,1.46428571428571,0.134057971014493,-0.559105431309904,-0.0217391304347826,0.992592592592593,0.182156133828996,0.0534591194968554,0.194029850746269,0.0306906290419642,0.0152106729069428,-0.00608831819605382,0.0777801585601028,-0.0016957081043153,0.015170151701517,0.016143549503808,0.00055644511066455,-0.00170245607663322,0.00817435594260907,0.00826595396777074,-0.00213543616495974,"Natural Gas Distribution","2"
"Austin",221320,14,19,4,10,10,10,10,26,20,26,37,42,0.0000257050834928901,0.483782577687619,0.357142857142857,-0.789473684210526,1.5,0,0,0,1.6,-0.230769230769231,0.3,0.423076923076923,0.0264598559335402,0.00300390507659953,-0.0684336627732854,0.0721748914965439,0.209145427286357,-0.117296962182269,-0.0216322517207473,0.0555635319454415,-0.0897714907508161,0.0103108188882248,-0.0461470196716462,-0.00646036265394948,"Sewage Treatment Facilities","2"
"Austin",236115,2506,2055,2151,2111,1859,1463,1419,1288,1401,1633,1496,1612,0.00103931905149631,0.703251320823,-0.179968076616121,0.0467153284671533,-0.0185960018596002,-0.119374703931786,-0.21301775147929,-0.0300751879699248,-0.0923185341789993,0.0877329192546583,0.165596002855104,-0.0838946723821188,0.0151065517403678,-0.342383622263754,-0.0702061562684768,-0.0213712298206475,-0.21044544645165,-0.222004983358493,-0.102229027620306,-0.0481336336531827,0.0978525509506223,0.107744443336988,0.00872210725211442,0.0339905215810364,"New Single-Family Housing Construction (except Operative Builders)","2"
"Austin",236116,284,248,331,333,323,272,241,243,264,289,465,548,0.000323050373626862,1.14917139605127,-0.126760563380282,0.334677419354839,0.0060422960725075,-0.03003003003003,-0.157894736842105,-0.113970588235294,0.00829875518672196,0.0864197530864197,0.0946969696969697,0.608996539792388,0.0333499913350034,0.0530237283830408,-0.0343330385141111,0.00961698584512916,-0.150571110469671,-0.188863807373965,-0.111766114070261,-0.108883872923896,0.0743639181883482,0.12256316419171,0.0695589479953607,0.0107453603824773,"New Multifamily Housing Construction (except Operative Builders)","2"
"Austin",236117,2228,3378,3357,3654,2473,2161,1904,1956,2248,2492,3152,3143,0.00218979522079972,2.53868864841514,0.516157989228007,-0.00621669626998222,0.0884718498659518,-0.323207443897099,-0.126162555600485,-0.118926422952337,0.0273109243697478,0.149284253578732,0.108540925266904,0.264847512038523,-0.00057962235111856,0.529865664005331,-0.134583451617545,-0.200165362787082,-0.343097597698825,-0.118040470040881,-0.0946918273146891,-0.111665720498291,0.0983553186871489,0.0680308702286725,0.076114217580791,-0.00275887929211146,"New Housing Operative Builders","2"
"Austin",236118,1153,1416,1667,1612,1480,1532,1632,1600,1635,1810,1992,1924,0.0013839061166983,0.526718309850735,0.228100607111882,0.17725988700565,-0.032993401319736,-0.0818858560794045,0.0351351351351352,0.0652741514360313,-0.0196078431372549,0.0218750000000001,0.107033639143731,0.100552486187845,-0.00695879855529537,0.457293983048116,-0.0109468772374063,-0.127324357788293,-0.136766891285967,-0.00117241558422287,-0.0123693878081668,0.0227731746670528,0.0530782751950811,0.045584065481262,0.0650310928242703,-0.0106982607420118,"Residential Remodelers","2"
"Austin",236220,6303,6546,6889,7582,9624,8721,7590,7419,5916,6534,7450,7194,0.00517575329789274,1.18913547781301,0.0385530699666825,0.0523984112435074,0.100595151691102,0.269322078607228,-0.0938279301745636,-0.1296869625043,-0.0225296442687747,-0.202587949858472,0.10446247464503,0.140189776553413,-0.00695849033705681,0.0565344119344497,0.0271042766429501,-0.00808474758068356,-0.126840352819083,-0.103326212369836,-0.0662887725153939,-0.0755064683730763,0.0805688888888889,0.0312530847948407,0.0535025216720211,0.00385492072873759,"Commercial and Institutional Building Construction","2"
"Austin",237110,2465,3150,3394,3096,2250,1986,1910,1984,4689,5427,6257,7861,0.00434693803824361,3.31142503223439,0.27789046653144,0.0774603174603175,-0.0878020035356512,-0.273255813953488,-0.117333333333333,-0.0382678751258811,0.0387434554973822,1.36340725806452,0.157389635316699,0.152939008660402,0.046703343507371,0.0761156755582901,-0.000341142780265646,-0.0698812321860295,-0.160892751945596,-0.0783106189839819,-0.0677188082558815,0.104366148730004,-0.0215458498280225,0.0135570736883996,0.0426269844385985,0.00511475587726283,"Water and Sewer Line and Related Structures Construction","2"
"Austin",237210,740,899,1161,1071,869,676,554,479,477,470,481,435,0.000334166085407571,1.552136541487,0.214864864864865,0.291434927697442,-0.0775193798449613,-0.188608776844071,-0.222094361334868,-0.180473372781065,-0.135379061371841,-0.00417536534446761,-0.0146750524109015,0.0234042553191489,-0.0199871826617993,0.119827210176026,-0.0126657033360558,-0.118660676788373,-0.227975683363898,-0.193678107172917,-0.128322894919972,0.478631113949651,-0.536804405730329,0.0352022380230796,-0.0192170551364336,-0.00498100508372349,"Land Subdivision","2"
"Austin",237310,4004,4531,5086,4766,4213,3600,3282,3549,3596,3878,4590,4758,0.00318881981709096,1.48712613429878,0.131618381618382,0.122489516662988,-0.0629178136059771,-0.116030214015946,-0.145502017564681,-0.0883333333333334,0.0813528336380256,0.0132431670893209,0.078420467185762,0.183599793708097,0.00720892177658551,0.0448772145265872,-0.000793770440357999,-0.0312926259264164,-0.103757032516449,-0.0214812371660513,-0.0444239063462724,-0.037071453766883,-0.0110603870347685,0.0253832581222044,0.0109344168052081,0.000945632011952978,"Highway, Street, and Bridge Construction","2"
"Austin",238110,3158,4408,4784,5080,4347,3937,3398,3005,2662,3053,3209,2882,0.0022293949440185,1.36652282641768,0.395820139328689,0.0852994555353901,0.0618729096989967,-0.144291338582677,-0.094317920404877,-0.136906273812548,-0.115656268393172,-0.11414309484193,0.146882043576259,0.0510972813625941,-0.0212617622481974,0.125261342437788,-0.0531532884159426,-0.0473992831304405,-0.26291021199416,-0.16694347079442,-0.0720199704058465,0.0225427545493275,0.0446212815598701,0.0583154332207099,0.0660417990158604,0.0100526689947261,"Poured Concrete Foundation and Structure Contractors","2"
"Austin",238120,533,475,605,833,703,672,518,622,568,544,614,586,0.000426565439584717,0.743479836912412,-0.108818011257036,0.273684210526316,0.376859504132231,-0.156062424969988,-0.0440967283072546,-0.229166666666667,0.200772200772201,-0.0868167202572347,-0.0422535211267606,0.128676470588235,-0.00913370283663196,0.0962714628731935,0.110711629060253,0.0576081159851669,-0.174597776631174,-0.21715657720886,-0.0503611484156655,0.158025493531064,0.00511584923097241,0.0523757922043806,0.0864484523215177,0.00245724819728938,"Structural Steel and Precast Concrete Contractors","2"
"Austin",238130,509,530,640,427,337,337,285,356,366,436,492,550,0.000341808137256809,0.578901846381336,0.0412573673870333,0.207547169811321,-0.3328125,-0.210772833723653,0,-0.154302670623145,0.249122807017544,0.0280898876404494,0.191256830601093,0.128440366972477,0.0224273382521218,0.0994977899215703,-0.196746300540494,-0.270288329825265,-0.327915388489538,-0.129858982219497,-0.135224852812226,-0.00525095965814437,0.159452473697623,0.0626079311752332,0.0587713855154686,0.0276380207022489,"Framing Contractors","2"
"Austin",238140,1510,1960,2079,2208,2106,1415,1252,1197,1133,1395,1390,1313,0.000965677460949115,0.898996549372244,0.298013245033113,0.0607142857142857,0.0620490620490621,-0.0461956521739131,-0.328110161443495,-0.115194346289753,-0.0439297124600639,-0.0534670008354219,0.231244483671668,-0.00358422939068104,-0.0113850458438763,0.0884690678723561,-0.0570763635198359,-0.0954337104235787,-0.207998722608884,-0.18183273641517,-0.102283680849984,-0.020812813847222,-0.00460062001187256,0.0411745216599022,0.0371914304579917,0.00800927086931872,"Masonry Contractors","2"
"Austin",238150,550,638,718,779,827,749,706,702,800,918,961,939,0.000667637438828849,1.52072660615215,0.16,0.125391849529781,0.084958217270195,0.0616174582798459,-0.094316807738815,-0.0574098798397864,-0.00566572237960339,0.13960113960114,0.1475,0.0468409586056644,-0.0045781958889823,0.105264231789431,0.0308663626797614,0.0891101520388244,-0.0891855895555519,-0.142978354665752,-0.0891875381795968,-0.0392007215708041,0.10682649720778,0.05017180635901,0.103481124065522,0.00249343807590751,"Glass and Glazing Contractors","2"
