"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",113110,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-0.0545454545454545,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"Austin",113210,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,0.0727272727272727,0.00435177455787406,-0.030879109359302,-0.00458022676013836,-0.0432895837550074,-0.031739028631201,-0.0524770100832118,-0.0567437525115209,-0.067253657547548,0.00748069593271983,-0.0168691394143877,-0.0017996195779685,"Forest Nurseries and Gathering Forest Products","1"
"Austin",113310,2,0,0,0,12,0,0,0,0,3,0,0,0,0,35,54,0.0000243156195203015,0.0581379974155642,-1,NA,NA,NA,-0.242141716744801,NA,NA,NA,NA,0.634516684051246,0.0906229810497334,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"Austin",114111,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,0.096969696969697,-0.033253893085236,-0.0470656176424126,-0.0258546544040338,-0.0107815493137076,0.0193550512334144,-0.0021824130852276,0.0170404193325648,-0.00145274038971055,-0.000101286338551443,-0.0326333013775101,0.00314105246174759,"Finfish Fishing","1"
"Austin",114210,10,17,24,14,10,9,20,15,16,8,14,15,14,7,4,4,0.00000277892794517731,0.185282035475414,-0.0208516376390232,0.0330378041139323,-0.0897178984869599,0.0270660870893518,-0.043647500209963,0.0923884641403729,-0.055912488705098,-0.0137038103409706,-0.152390898463782,-0.129449436703876,-0.0121709723147318,-0.0481279186960559,-0.0565142020757432,-0.0610006109817981,-0.0625867460700447,-0.0220748124301611,-0.0459954986232239,-0.0310762923122981,-0.0484674505323671,-0.0475564287625665,-0.0079627971045847,0.00337858778692612,"Hunting and Trapping","1"
"Austin",115111,7,15,12,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,-1,-0.160621672514612,-1,NA,NA,NA,-1,NA,NA,0.0897158082580185,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"Austin",115112,51,81,140,25,15,6,17,16,9,29,16,15,12,10,5,6,0.00000347365993147164,0.0382530406751781,-0.348197210368623,-0.26819936752417,-0.35196510908444,-0.184806890394077,0.140936168422928,0.216728683786412,-0.0247219104405273,-0.055912488705098,0.0212956876001351,-0.296418516673172,0.0274471768863639,-0.0185567385533889,-0.0046244757010675,-0.020016783644261,-0.0269250649278132,-0.0116743219570268,-0.000214065787211282,-0.00395456124753391,-0.0105660366397394,-0.0120546514330737,-0.00962611641928235,0.00094539315949198,"Soil Preparation, Planting, and Cultivating","1"
"Austin",115113,0,0,0,0,0,2,4,2,2,2,3,2,3,0,0,0,0,0,NA,NA,NA,NA,NA,0.0844717711976986,-0.129449436703876,0.0844717711976986,-1,-1,-0.0962516223207602,-0.0687717349595794,-0.0873250438734872,-0.0830506092053901,-0.0841995775590554,-0.0900154736082747,-0.077989070841777,-0.0365276037067912,-0.00353656365876653,0.0355246952845656,0.0189536358848406,0.0133459943258337,"Crop Harvesting, Primarily by Machine","1"
"Austin",115114,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,0.145454545454545,0.0226047410136045,0.0515133062460287,0.044693819471918,0.0289914274432714,0.0384556866432733,0.0322905220003407,0.0199204087445732,-0.0142831189776638,-0.0036239261982951,-0.014809537711573,-0.00636940635529576,"Postharvest Crop Activities (except Cotton Ginning)","1"
"Austin",115115,2,2,0,0,0,0,0,0,0,0,0,0,5,2,2,3,0.00000138946397258865,0.0156817058689744,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,0.096969696969697,0.0224618148401294,0.0795802280508013,0.11126453515473,0.0379677927120816,0.0878560042362642,0.0757631853681364,0.0175079815816026,-0.0127704752001436,0.0741708078849261,0.00707548049293916,-0.00527266820799863,"Farm Labor Contractors and Crew Leaders","1"
