"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",221122,8374,7866,9738,9385,7928,7889,7151,11062,7374,6264,5067,5548,6260,7567,8972,9035,0.00476690665905832,1.53463054726751,-0.0118615472568935,-0.0188790097059589,0.0258238140073475,-0.0470858602096471,-0.0460236208753938,-0.0847372454832365,-0.0494960305792737,-0.107623477725266,0.00518065098365494,0.07450268033657,0.00140918229568897,0.00397415204620954,0.00905167697371256,-0.00857608322547931,0.00756772481647316,-0.00879517368993743,-0.00300427243420553,-0.00493859544286812,-0.00893798652706612,-0.0177839130269821,-0.00325109872247586,-0.00173584219971671,"Electric Power Distribution","2"
"Detroit",221210,2618,2053,2057,1959,1834,1751,1905,1476,1855,877,1901,2807,2224,1886,1267,1374,0.000673168829361,0.922087550433219,-0.0772940932609176,-0.0148526212358197,-0.0642272092513392,-0.0108505915833008,-0.137180299999113,0.0165744592724577,0.0806112548667899,0.0854496553581563,0.00332019731548283,0.0763546820589236,0.0162822626024667,-0.0380048317633314,-0.0182667642219477,-0.00467241199239021,0.0106949822867344,0.0196407563844936,0.0198280770252894,0.0211880503494406,0.00566118421095685,0.00764192639724892,0.00626758289967677,0.00401907316452788,"Natural Gas Distribution","2"
"Detroit",221320,12,8,18,23,29,26,20,97,107,78,102,155,122,129,110,100,0.0000584440183344199,1.10323770173937,0.167235319329693,0.201124433981431,0.400553960068477,0.359975824798554,0.218819295232952,0.314393385051061,0.506122652573098,0.0469299385256166,0.0381047698343149,0.071172997986781,-0.0196351762162945,0.00253488678074909,-0.0342709429848844,-0.00824770510709882,0.0485154642942625,0.0134796678573426,0.00845132564978601,0.0339726694848748,0.000658801553888866,-0.0346577532675675,-0.0195743228804236,-0.0012473621349098,"Sewage Treatment Facilities","2"
"Detroit",236115,0,0,4476,5000,4189,2186,1487,1394,1041,1026,1171,855,1098,1170,1331,1417,0.00070717262184648,0.484228863309537,NA,NA,-0.208092348511597,-0.269372280465815,-0.245242564655511,-0.117364588390054,-0.10477741697049,-0.0466158812605469,0.0236394774632716,0.0534311078519096,0.0125781891873743,NA,NA,-0.0702772358901366,-0.131423776296575,-0.181408473554696,-0.128824140498976,-0.124726669920086,-0.104369442145774,-0.0416141559354779,0.00948375629943077,-0.00184079190270586,"New Single-Family Housing Construction (except Operative Builders)","2"
"Detroit",236116,0,0,421,510,439,344,262,121,58,74,83,77,111,92,100,108,0.0000531309257585635,0.191191048891995,NA,NA,-0.220707215882868,-0.352601686827245,-0.299588222957781,-0.247504460472861,-0.217223305895824,-0.0171041040386106,0.0966599081406767,0.062071258063263,0.0164333039033611,NA,NA,0.00926617975999422,-0.0311465911306019,-0.0668991236570433,-0.098124823803053,-0.112501108358289,-0.101399258701483,-0.0498689204109132,0.00416646481075222,-0.00691030729524897,"New Multifamily Housing Construction (except Operative Builders)","2"
"Detroit",236117,0,0,1889,1687,1788,2101,1717,1280,575,532,961,776,1159,1196,968,1051,0.000514307361342895,0.589902017279396,NA,NA,-0.0748852564830595,-0.193674206903975,-0.215290656858627,-0.144816196568058,-0.146863966918635,-0.0196645821018164,0.157744341353158,0.127178626218947,0.016580767136942,NA,NA,0.0473957402144416,-0.0611339342437923,-0.0930869700941807,-0.183428401875412,-0.17914865254666,-0.125392805731728,-0.036105201850928,0.0030245869237302,-0.00929602089129456,"New Housing Operative Builders","2"
"Detroit",236118,0,0,3485,3586,3796,4577,3481,3610,3339,3221,3133,3218,3413,3923,4548,4650,0.00241639450349947,0.926442950810615,NA,NA,0.00707284084759174,-0.0141718235932652,-0.0323174619739339,-0.0730081914215637,-0.0155891238817533,-0.0111604750994981,0.0327623042138776,0.0714352889005874,0.00446148193669022,NA,NA,0.0844589204876123,0.0336319123170066,0.0163602052175382,-0.0597201563493032,-0.0533944019009677,-0.0171423363724947,0.0212611278790602,0.034453929275152,-0.0023409232114637,"Residential Remodelers","2"
"Detroit",236220,8777,7843,6984,5138,5423,5183,4997,5139,4506,3677,3787,4143,4190,3918,4592,4848,0.00243977211083324,0.563155408482933,-0.0999906482518045,-0.0862120497631924,-0.0595084944300982,-0.0259092540329686,-0.0747676585905165,-0.0608330105616678,-0.0367897027838699,-0.0400091778392845,-0.027578284079269,0.0454461073832448,0.0108979214862613,-0.00714646446311129,0.0106980925644418,0.0114728446363073,-0.0171271311761644,-0.0336372595374173,-0.0572295457707293,-0.0768679456307991,-0.0609268796238819,-0.0291464332882491,0.00266060467058793,-0.00457855399796185,"Commercial and Institutional Building Construction","2"
"Detroit",237110,221,213,2064,2150,2212,1642,1574,1186,1111,1069,863,817,1024,882,1107,871,0.000588159348147298,0.440194036902552,0.493468874328029,0.49184954068802,-0.104892905680961,-0.123695342782686,-0.135353641996034,-0.120719324329595,-0.122911401172211,-0.0289467334609287,-0.0451153648863748,0.00701046338885547,-0.0469100789931836,0.552516022317986,0.533090904189878,0.00747264165608597,-0.0337940648132528,-0.0499854692524051,-0.0768594229593879,-0.0582836849648021,-0.0486934018810061,-0.0120689021554692,0.012594424194974,-0.0548884003598281,"Water and Sewer Line and Related Structures Construction","2"
"Detroit",237210,1030,1139,824,838,812,684,630,307,453,272,441,1333,304,319,387,430,0.000205616682685641,0.950192755165648,-0.0786094039814594,-0.111692425971777,-0.17919076750663,-0.115758616181332,-0.196469113644626,-0.0840400229460646,0.161710514154384,-0.0019620818320748,-0.0677368967765826,0.0730708865435807,0.0212350983586073,-0.0278100579559709,-0.035802587654071,0.0211407474940626,-0.0414334807635222,-0.0951438059125557,-0.139362058273948,-0.0669613982930644,-0.179603372862608,-0.130033136902728,-0.0952770619488675,-0.0144929665903639,"Land Subdivision","2"
"Detroit",237310,2368,1982,2145,2326,2315,2407,2100,1634,1687,1604,1291,1158,1407,1639,2078,2094,0.00110406063726295,0.515062085527674,0.0032724311058252,0.01163332867269,-0.0529673519838186,-0.0622197665336507,-0.0707540569238031,-0.117143679790147,-0.112235339537076,-0.0294712410269414,-0.00575646843631927,0.0531451592043197,0.00150406173352214,0.034231992625797,0.0359109069512913,0.00505658090109562,-0.0208918449727594,-0.023703835408177,-0.0409934207136778,-0.0480604463181983,-0.0441168503217856,-0.0180329885479227,-0.0116115468591363,-0.00687794951100074,"Highway, Street, and Bridge Construction","2"
"Detroit",238110,0,0,3041,3189,2666,2504,2463,1848,1324,1487,1478,1118,1153,1029,1252,1231,0.000665199190497215,0.410024684507147,NA,NA,-0.0948154985862067,-0.161222652451272,-0.110204582676649,-0.100071466598452,-0.146122679976612,-0.0900333662811752,-0.049164303099881,-0.033818601198216,-0.00344953840882288,NA,NA,0.0169852157029293,-0.0518302177714273,-0.0902380496165179,-0.124643793694264,-0.111074887501829,-0.0945285352097818,-0.0265946800997783,0.0226185528035268,-0.00455941995938917,"Poured Concrete Foundation and Structure Contractors","2"
"Detroit",238120,0,0,971,815,822,337,395,679,691,620,468,754,518,378,487,480,0.000258747608444204,0.456224468202066,NA,NA,-0.0690419559115864,-0.0324707847513118,-0.0548429581123749,0.0678818137299633,0.138032985313841,-0.0526902720876967,-0.113655099251963,-0.0471436021468138,-0.00305384007835042,NA,NA,0.0600938030882172,0.0160736158193555,-0.0360889722896277,-0.0633765608000725,-0.0555295333831723,-0.0650967889023578,-0.0185510957974786,0.0479354646058476,-0.00343326354667046,"Structural Steel and Precast Concrete Contractors","2"
"Detroit",238130,0,0,3360,3500,3261,2456,1581,1088,571,594,603,530,702,807,632,663,0.000335787450794121,0.575737851154271,NA,NA,-0.201898873886569,-0.30415323461504,-0.28864378661542,-0.244876840980981,-0.196346574969545,-0.0839026152025487,0.0716364704203352,0.0124792388581187,0.00952082824640266,NA,NA,-0.0616350284706114,-0.147549569678298,-0.177298297519599,-0.215877052293358,-0.181617521208862,-0.102206090964439,-0.0160648513169462,0.0233141649376638,-0.00149251149463174,"Framing Contractors","2"
"Detroit",238140,3572,3154,2719,3002,2656,2495,2185,1985,1681,1507,1315,1348,1567,1559,1792,1872,0.000952106189593458,0.889629287779321,-0.0692526252072417,-0.0707812800671851,-0.0609899061918803,-0.109505164443815,-0.107153015198432,-0.120226167191893,-0.0920797759455031,-0.0461903828195372,-0.0149558858464004,0.0352493121160844,0.00875452015647648,0.0675517154999019,0.0659025974121812,0.00398167532835192,-0.0563437910756108,-0.0966413681133909,-0.130789819274359,-0.124204631371475,-0.107282522050147,-0.0570827788435282,-0.0112717753355613,-0.0143294606681829,"Masonry Contractors","2"
"Detroit",238150,886,915,798,813,678,728,626,670,565,440,473,542,601,706,648,690,0.000344288398915492,0.781974973517482,-0.0385216013243795,-0.0731047686423587,-0.0343619235306233,-0.0701956354663632,-0.0828410751551054,-0.0826270033833916,-0.0284056275666588,-0.0215020190582565,0.0455655145283209,0.0804992403257738,0.012677352575023,0.0247625398592013,0.0342558944933684,0.0509709485068932,0.0260767206644947,-0.00635238386420012,-0.0440724799628068,-0.0574356178431421,-0.0543888755065294,-0.0270765636319075,0.0233714305881416,-0.0076175964970006,"Glass and Glazing Contractors","2"
"Detroit",238160,0,0,1987,2107,1888,1849,1818,1512,1516,1111,1358,1418,1356,1351,1949,2018,0.0010355217430344,0.793511697173745,NA,NA,-0.0531726710001144,-0.0637174416862519,-0.100621681365474,-0.0598599116418138,-0.0484831785522148,-0.0215433715422924,-0.0227825138754875,0.118972867537356,0.0070053894977132,NA,NA,0.0105955066856955,-0.0288524689152806,-0.0395518813952914,-0.0570842125239581,-0.0511222015260226,-0.042590078813297,-0.0100358876539325,0.00883899691271983,-0.00206648301708427,"Roofing Contractors","2"
