"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",113110,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.34098690835851,-0.0299511002444988,-0.0333963453056081,-0.197196870925684,-0.0227365002030044,0.0216036560033237,0.0239934932899553,0.403494837172359,-0.0152801358234296,0.181896551724138,0.0466728185026327,"Timber Tract Operations","1"
"Detroit",113210,3,3,33,15,14,0,0,0,0,0,5,0.00000265654628792818,0.208965718108266,0,10,-0.545454545454545,-0.0666666666666667,-1,NA,NA,NA,NA,NA,-0.400440771349862,0.179331306990882,0.0751718213058419,0.0151817818617659,-0.32624950806769,-0.0186915887850467,0.0583333333333333,0.0511811023622046,-0.0401284109149278,-0.00947603121516161,-0.131682611142375,-0.0149023905534651,"Forest Nurseries and Gathering Forest Products","1"
"Detroit",113310,6,2,5,3,3,0,0,3,0,9,5,0.00000265654628792818,0.00622183399342097,-0.666666666666667,1.5,-0.4,0,-1,NA,NA,-1,NA,-0.444444444444444,-0.0636363636363636,-0.0289919509390572,-0.0376574983421227,-0.0521255475889678,-0.125095201827875,0.0204965871995251,-0.0114383203117427,0.000274558255378476,0.00799921576316054,-0.00754672942640966,0.0156393924546792,0.00761973128759244,"Logging","1"
"Detroit",114111,12,16,15,15,15,15,14,14,13,26,19,0.0000100948758941271,0.325604462279035,0.333333333333333,-0.0625,0,0,0,-0.0666666666666667,0,-0.0714285714285714,1,-0.269230769230769,0.00964008214008216,0.0718533201189295,-0.145168747110495,0.0454299621416983,0.0217278841179513,0.124556962025316,-0.0366951823502927,-0.0595933629352653,-0.0462226640159046,0.0286607608129235,-0.0468591691995948,-0.00433384766500646,"Finfish Fishing","1"
"Detroit",114112,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,0.00614754098360648,0.0602851323828921,-0.120630042258932,-0.0122324159021406,0.0698805838124723,0.0223232740801984,0.00485240598463399,0.0531187122736418,-0.0405043943446695,-0.101154918359219,-0.00484125995507542,"Shellfish Fishing","1"
"Detroit",114210,63,96,70,94,71,52,45,45,49,47,29,0.0000154079684699834,1.01692104276135,0.523809523809524,-0.270833333333333,0.342857142857143,-0.24468085106383,-0.267605633802817,-0.134615384615385,0,0.0888888888888888,-0.0408163265306123,-0.382978723404255,-0.0421441433016201,0.109345794392523,-0.010530749789385,0.00255427841634748,-0.0416135881104034,-0.151971643774922,-0.0198537095088819,0.0692963752665245,-0.084247258225324,-0.0370168753402287,0.0395703787450536,-0.0047426756272404,"Hunting and Trapping","1"
"Detroit",115111,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0673970783532537,-0.0323958704165184,-0.00257542310522441,-0.189597934341571,0.0491579426490669,-0.0295010845986985,0.0719713902548056,0.0417014178482069,-0.0412329863891113,-0.0521920668058455,0.00607526329349724,"Cotton Ginning","1"
"Detroit",115112,27,12,15,14,9,11,15,14,21,18,22,0.000011688803666884,0.125761018826402,-0.555555555555556,0.25,-0.0666666666666667,-0.357142857142857,0.222222222222222,0.363636363636364,-0.0666666666666667,0.5,-0.142857142857143,0.222222222222222,0.0490677336131882,-0.0322554953806945,0.0529997531067401,-0.0148495506057054,0.000476001586672048,-0.0611371025295377,0.0251689189189188,0.0334486735870818,-0.0471141581632653,-0.00702752447084409,-0.049540820625158,-0.00334459315503863,"Soil Preparation, Planting, and Cultivating","1"
"Detroit",115113,3,2,0,0,0,0,3,0,0,3,0,0,0,-0.333333333333333,-1,NA,NA,NA,NA,-1,NA,NA,-1,-0.0121212121212121,-0.0679516497876511,-0.116368734665265,-0.0285600952003173,-0.130665577786852,-0.102865194927196,-0.00471204188481678,0.100999473961073,0.149546106067845,0.0536159600997506,-0.172386587771203,0.0117191377947279,"Crop Harvesting, Primarily by Machine","1"
"Detroit",115114,0,0,0,3,1,3,3,3,0,0,0,0,0,NA,NA,NA,-0.666666666666667,2,0,0,-1,NA,NA,-0.0303030303030303,0.0169785599206842,0.124268827687058,0.00693710538438608,-0.0216098388008289,0.0721201452304985,-0.0128534044845811,0.0585024820022351,-0.150952661559615,0.0324465008675534,0.0132765671390958,-0.0079403614836165,"Postharvest Crop Activities (except Cotton Ginning)","1"
