"Description","People(+)","Avg Wage","Net Gain"
"Engineering Services","8,465","$ 93,370","$ 790,377,050"
"Corporate, Subsidiary, and Regional Managing Offices","5,523","$ 114,954","$ 634,890,942"
"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","4,335","$ 126,209","$ 547,116,015"
"Real Estate Credit","3,673","$ 95,163","$ 349,533,699"
"Custom Computer Programming Services","1,725","$ 109,386","$ 188,690,850"
"Motor Vehicle Metal Stamping","2,788","$ 59,078","$ 164,709,464"
"Data Processing, Hosting, and Related Services","1,378","$ 98,652","$ 135,942,456"
"Light Truck and Utility Vehicle Manufacturing","1,267","$ 81,928","$ 103,802,776"
"Direct Property and Casualty Insurance Carriers","1,202","$ 86,119","$ 103,515,038"
"All Other Professional, Scientific, and Technical Services","1,415","$ 73,137","$ 103,488,855"
