NAICS,Description,Employees,Relative Size (RS),% Total
113110,Timber Tract Operations,0,0,0%
113210,Forest Nurseries and Gathering Forest Products,0,0,0%
113310,Logging,35,0.056949035,0%
114111,Finfish Fishing,0,0,0%
114210,Hunting and Trapping,4,0.183408365,0%
115111,Cotton Ginning,0,0,0%
115112,"Soil Preparation, Planting, and Cultivating",5,0.037373458,0%
115113,"Crop Harvesting, Primarily by Machine",0,0,0%
115114,Postharvest Crop Activities (except Cotton Ginning),0,0,0%
115115,Farm Labor Contractors and Crew Leaders,2,0.015252238,0%
115116,Farm Management Services,8,0.128760444,0%
115210,Support Activities for Animal Production,83,0.343765688,0%
115310,Forestry Support Activities,3,0.020198498,0%
211111,Crude Petroleum and Natural Gas Extraction,1327,1.057671403,0%
211112,Natural Gas Liquid Extraction,363,2.847073246,0%
212111,Bituminous Coal and Lignite Surface Mining,318,0.827809171,0%
212112,Bituminous Coal Underground Mining,3,0.006499974,0%
212113,Anthracite Mining,2,0.221027512,0%
212221,Gold Ore Mining,0,0,0%
212231,Lead Ore and Zinc Ore Mining,3,0.097294611,0%
212299,All Other Metal Ore Mining,0,0,0%
212311,Dimension Stone Mining and Quarrying,391,9.768859362,0%
212312,Crushed and Broken Limestone Mining and Quarrying,542,1.707675586,0%
212313,Crushed and Broken Granite Mining and Quarrying,0,0,0%
212319,Other Crushed and Broken Stone Mining and Quarrying,71,0.879128003,0%
212321,Construction Sand and Gravel Mining,153,0.600421899,0%
212322,Industrial Sand Mining,0,0,0%
