"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Meridian",113110,14,49,36,21,21,25,34,16,13,12,15,14,28,54,67,81,0.000897786353647425,26.0847843004652,0.122955107056821,-0.0704846472085461,-0.149716999582806,-0.091458412375693,-0.105887039342019,-0.0971195485525658,-0.162606040649437,0.118426914720145,0.32950532614669,0.410518255458923,0.039539650464173,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"Meridian",113210,51,29,16,13,13,11,13,22,7,14,15,14,14,7,7,7,0.0000937985742616712,7.34945391075217,-0.264192005985304,-0.14825602360915,0.0657627566354742,-0.116450394021837,0.0149319789453937,0.0639953128150836,0.0149319789453937,-0.0864315960065141,0,-0.129449436703876,0.0117134180506566,0.00435177455787406,-0.030879109359302,-0.00458022676013836,-0.0432895837550074,-0.031739028631201,-0.0524770100832118,-0.0567437525115209,-0.067253657547548,0.00748069593271983,-0.0168691394143877,-0.0017996195779685,"Forest Nurseries and Gathering Forest Products","1"
"Meridian",113310,1085,1084,842,948,828,912,825,778,730,803,834,801,796,880,885,922,0.0118588197459399,27.3247037643358,-0.0341425811329835,-0.0531418247290198,-0.0156863650530246,-0.0509198186874605,-0.00611292765226168,-0.0177223954399234,-0.00588709062228043,0.00458501147920276,0.0380827214353008,0.0196369027369823,0.00816625925484213,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"Meridian",114210,0,0,0,0,3,3,3,2,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-1,-1,-1,-1,-1,NA,-0.0909090909090909,-0.0481279186960559,-0.0565142020757432,-0.0610006109817981,-0.0625867460700447,-0.0220748124301611,-0.0459954986232239,-0.0310762923122981,-0.0484674505323671,-0.0475564287625665,-0.0079627971045847,0.00337858778692612,"Hunting and Trapping","1"
"Meridian",115111,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-1,-1,NA,NA,NA,NA,NA,0.0242424242424242,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"Meridian",115112,5,4,18,36,45,101,14,15,35,31,34,49,30,27,37,29,0.000495792463954548,5.32011185446238,0.824190853698493,0.284735157123439,-0.0358074959973728,-0.00561833319369898,-0.0718250655929992,-0.195675109242688,0.284735157123439,0.148698354997035,-0.050578321373252,0.036019681902083,-0.0470969406870955,-0.0185567385533889,-0.0046244757010675,-0.020016783644261,-0.0269250649278132,-0.0116743219570268,-0.000214065787211282,-0.00395456124753391,-0.0105660366397394,-0.0120546514330737,-0.00962611641928235,0.00094539315949198,"Soil Preparation, Planting, and Cultivating","1"
"Meridian",115113,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-0.096969696969697,-0.0687717349595794,-0.0873250438734872,-0.0830506092053901,-0.0841995775590554,-0.0900154736082747,-0.077989070841777,-0.0365276037067912,-0.00353656365876653,0.0355246952845656,0.0189536358848406,0.0133459943258337,"Crop Harvesting, Primarily by Machine","1"
"Meridian",115115,0,0,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0844717711976986,0.0844717711976986,NA,NA,0.0040956010277672,0.0224618148401294,0.0795802280508013,0.11126453515473,0.0379677927120816,0.0878560042362642,0.0757631853681364,0.0175079815816026,-0.0127704752001436,0.0741708078849261,0.00707548049293916,-0.00527266820799863,"Farm Labor Contractors and Crew Leaders","1"
"Meridian",115116,2,3,3,2,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,-0.0778920885182722,0,0.0844717711976986,-1,-1,-1,-1,-1,NA,-0.0891404284482739,-0.0388283764332974,-0.0313720980526146,-0.0302923790645034,-0.0496133829315457,-0.0229722020463364,-0.024287725988323,-0.00578502194111241,0.0265100107832095,0.048813572992473,0.070593061187423,0.0118804493586059,"Farm Management Services","1"
"Meridian",115210,0,83,93,76,88,135,130,176,175,188,206,206,210,210,166,159,0.00222436618963392,13.1617504175155,NA,0.0938884882816122,0.136072229264777,0.181530375671569,0.163951904933965,0.088194910501092,0.0964397542334481,0.0359560365101599,0.0371372893366482,-0.0245836123507969,-0.00878861046237723,-0.010462077044464,-0.0213953364632048,-0.0157641594517723,-0.0101749214611414,0.000722842556007297,-0.00508454307264261,-0.00474564541590639,-0.0178225088868205,-0.0048675369725466,-0.00946997515336001,0.000756437629008229,"Support Activities for Animal Production","1"
"Meridian",115310,110,100,103,183,90,88,98,131,129,112,80,98,103,98,259,270,0.00347054724768184,32.9727905641584,-0.043647500209963,-0.00403238945904472,0.049268932588862,-0.0675453391288842,0.044708438422445,-0.0188815042737357,0,-0.0469554859184678,-0.0534854964852486,0.182541384318282,0.00816637693166423,-0.0207994187492784,-0.00491004767452907,-0.0458701586301814,-0.0695406709865404,-0.0605786643575354,-0.0430989528564568,-0.0478755868919902,-0.0189815602907255,-0.00557610103677941,0.0189488991755882,0.00345448753497003,"Forestry Support Activities","1"
"Meridian",211111,21,9,10,18,16,17,23,22,21,23,107,51,107,0,0,0,0,0,-0.0413812366370623,0.206415935982151,0.170804912964892,0.0313103064775451,0.0752800064055696,0.444730932120849,0.172650162334156,0.372120394052184,-1,-1,-0.0925601971116359,0.0057978999551529,0.123063434185792,0.0756653828567524,0.0801608794954705,0.0745493856685824,0.0671381727429217,-0.0287655002445864,0.0330198424688131,0.0478601029919739,0.0408944306949532,-0.00459377330778212,"Crude Petroleum and Natural Gas Extraction","2"
"Meridian",211112,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-0.0181818181818182,0.0612882942504609,-0.0398350353395837,-0.0394078580425616,-0.0407530628704549,-0.0423759145396516,-0.0572512033411763,0.0262790623432052,0.0703876048769754,0.0385607484959871,0.0286923714247085,0.00600367019911736,"Natural Gas Liquid Extraction","2"
"Meridian",212111,0,0,0,0,0,0,0,0,0,0,0,35,69,124,124,124,0.00166157474406389,6.20602183385132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0316306904568453,0.0288501918265938,0.0347702771411511,0.0501264844409806,0.0244731336883808,0.0161645509086554,-0.00466108784651842,-0.0112643335715407,-0.0335982454206654,-0.0369277574707907,-0.00883036027445587,"Bituminous Coal and Lignite Surface Mining","2"
"Meridian",212321,17,19,19,3,2,2,35,38,37,15,13,18,92,83,81,94,0.00108538350217077,6.11172595972164,-0.348197210368623,0.129959528351366,0.148698354997035,0.652783976862599,0.496277869738845,0.454061151100997,-0.124530758806013,0.193440704416012,0.175371818752397,0.401131032353403,0.0297660062954948,-0.00181245783477424,0.01698399042552,-0.0133681525510858,-0.0547898856056616,-0.0580182677147099,-0.073155625900884,-0.0938527812188885,-0.035858094338919,0.0135926865071567,0.00590193124144966,-0.00120657805883363,"Construction Sand and Gravel Mining","2"
"Meridian",212325,82,82,82,90,82,82,82,90,90,90,78,75,0,0,3,2,0.0000401993889692877,1.90857593460279,0,0,0.0187924817829905,0,0.0187924817829905,-0.00995222962632403,-0.0176879259306073,-1,-1,-0.493504315887882,-0.100710968127921,-0.00536752625907222,-0.0610421444394365,-0.073276328479534,-0.0834591070277884,-0.105211063840043,-0.0867878424982523,-0.038695826280966,-0.000560403842604029,0.0207134106713187,0.034255055493805,0.00875869580798842,"Clay, Ceramic, and Refractory Minerals Mining","2"
"Meridian",213111,3,3,5,6,5,5,8,15,112,8,7,37,35,40,43,41,0.000576191241893123,1.06116250834395,0.10756634324829,0.216728683786412,0.245730939615517,0.795615536474251,0.0985605433061179,0.0696103757250688,0.358383342882327,0.184664452542244,-0.186104975182207,0.399831279621593,-0.0111238204190533,0.0420329905751071,0.172499830593823,0.121191470363192,0.0733027409155131,0.0524110301114078,0.0471068732575144,0.0152756409226338,0.0328209160401982,0.0718608708776833,0.0496390520240282,-0.00761973571769809,"Drilling Oil and Gas Wells","2"
"Meridian",213112,0,0,34,40,70,68,186,183,152,159,155,150,169,163,153,139,0.00205016883743367,0.986372402839654,NA,NA,0.400214060996746,0.306040724969801,0.178310687579444,0.1791377869262,-0.042109948056044,-0.0157914738713517,0.0140720278126965,-0.00766373881369786,-0.0187522548406404,NA,NA,0.15149583694152,0.123385514578387,0.100328800594323,0.0895495598359612,0.0688853652029855,0.0877148124220331,0.110460182312412,0.119010813178097,0.00818868959580458,"Support Activities for Oil and Gas Operations","2"
"Meridian",221112,15,14,66,13,0,0,0,0,0,15,15,0,0,0,0,0,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,-1,0.0909090909090909,-0.0240997393788506,0.0112173192414138,-0.00712850227126216,-0.0320664246764426,0.00187084755397549,0.007044719192838,-0.0315250477976268,-0.00173206656213198,0.0353515822136885,0.000846079457579307,0.00258928721911971,"Fossil Fuel Electric Power Generation","2"
"Meridian",221310,125,152,159,161,132,127,119,127,145,128,125,123,127,134,134,136,0.00179557270729485,5.99881153036667,0.00317971443242859,-0.0477725984560239,-0.0439484293129216,-0.0207165267794061,-0.00613543262414684,-0.00316963589542629,0.00663408112580322,0,-0.0156549555774036,0.00920400594812154,0.003538193277579,-0.00862923890229894,-0.0194577676200542,-0.00745974263566218,-0.00459538051902086,-0.00557120552508139,-0.00544744172880751,0.0123659730723735,-0.0060064903645094,0.0015262856404219,0.00655468919615032,0.0020716231008218,"Water Supply and Irrigation Systems","2"
"Meridian",236210,0,0,10,1209,1181,1193,1030,0,0,2,2,55,39,17,21,30,0.000281395722785014,0.385765444011712,NA,NA,-1,-1,-0.720902452911937,-0.72146619603957,-0.443448839121944,NA,NA,0.600434334440471,0.073169689390732,NA,NA,0.0231332110752545,0.00828416852308722,0.00791509140508251,-0.0161503753745984,-0.058566810149039,-0.00324059876054283,0.0237394077157338,0.0241095735899546,0.000161664026331405,"Industrial Building Construction","2"
"Meridian",237120,0,0,49,82,105,217,175,175,315,131,0,925,550,1125,750,867,0.0100498472423219,7.34359167155114,NA,NA,0.28993668421169,0.308878519159649,0.0452409098704922,-1,0.395149464741505,0.257375309802445,0.28993668421169,0.417613999999187,0.0293263505715355,NA,NA,0.13687241038287,0.115038259141579,0.08292071184191,0.0553310804742326,0.0319605131799459,-0.00640814226933295,0.0225324939125571,0.0543520664762278,-0.00209896713236147,"Oil and Gas Pipeline and Related Structures Construction","2"
