"Description","People(-)","Avg Wage","Net Loss"
"Poultry Processing","-5,797","$ 31,752","$ -184,066,344"
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","-598","$ 110,529","$ -66,096,342"
"Oil and Gas Pipeline and Related Structures Construction","-735","$ 78,335","$ -57,576,225"
"Paper (except Newsprint) Mills","-596","$ 82,174","$ -48,975,704"
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","-788","$ 56,867","$ -44,811,196"
"Specialized Freight (except Used Goods) Trucking, Long-Distance","-527","$ 54,964","$ -28,966,028"
"Payroll Services","-341","$ 74,408","$ -25,373,128"
"Other Direct Insurance (except Life, Health, and Medical) Carriers","-362","$ 69,187","$ -25,045,694"
"Upholstered Household Furniture Manufacturing","-632","$ 36,504","$ -23,070,528"
"Apparel Accessories and Other Apparel Manufacturing ","-546","$ 39,114","$ -21,356,244"
