"Description","People(+)","Avg Wage","Net Gain"
"Automobile Manufacturing","575","$ 82,248","$ 47,292,600"
"Institutional Furniture Manufacturing","196","$ 46,569","$ 9,127,524"
"Urethane and Other Foam Product (except Polystyrene) Manufacturing","178","$ 46,946","$ 8,356,388"
"Motor Vehicle Seating and Interior Trim Manufacturing","148","$ 50,303","$ 7,444,844"
"Corrugated and Solid Fiber Box Manufacturing","95","$ 61,389","$ 5,831,955"
"Freight Transportation Arrangement","89","$ 61,488","$ 5,472,432"
"All Other Miscellaneous General Purpose Machinery Manufacturing","67","$ 69,725","$ 4,671,575"
"Mattress Manufacturing","86","$ 45,135","$ 3,881,610"
"Convention and Trade Show Organizers","69","$ 52,700","$ 3,636,300"
"Cut Stock, Resawing Lumber, and Planing","99","$ 36,273","$ 3,591,027"
