Region,naics,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,Pct_Total,RS_2015,L_T_2006,L_T_2007,L_T_2008,L_T_2009,L_T_2010,L_T_2011,L_T_2012,L_T_2013,L_T_2014,L_T_2015,Local_Trend,N_T_2006,N_T_2007,N_T_2008,N_T_2009,N_T_2010,N_T_2011,N_T_2012,N_T_2013,N_T_2014,N_T_2015,Natl_Trend,Label,Group
Austin,113110,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.006060606,-0.340986908,-0.0299511,-0.033396345,-0.197196871,-0.0227365,0.021603656,0.023993493,0.403494837,-0.015280136,0.181896552,0.046672819,Timber Tract Operations,1
Austin,113210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.179331307,0.075171821,0.015181782,-0.326249508,-0.018691589,0.058333333,0.051181102,-0.040128411,-0.009476031,-0.131682611,-0.014902391,Forest Nurseries and Gathering Forest Products,1
Austin,113310,12,0,0,0,0,3,0,0,0,0,35,44,2.43156E-05,0.058137997,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,0.048484848,-0.028991951,-0.037657498,-0.052125548,-0.125095202,0.020496587,-0.01143832,0.000274558,0.007999216,-0.007546729,0.015639392,0.007619731,Logging,1
Austin,114111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.07185332,-0.145168747,0.045429962,0.021727884,0.124556962,-0.036695182,-0.059593363,-0.046222664,0.028660761,-0.046859169,-0.004333848,Finfish Fishing,1
Austin,114210,10,9,20,15,16,8,14,15,14,7,4,3,2.77893E-06,0.185282035,-0.1,1.222222222,-0.25,0.066666667,-0.5,0.75,0.071428571,-0.066666667,-0.5,-0.428571429,-0.077768158,0.109345794,-0.01053075,0.002554278,-0.041613588,-0.151971644,-0.01985371,0.069296375,-0.084247258,-0.037016875,0.039570379,-0.004742676,Hunting and Trapping,1
Austin,115111,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,0.018181818,-0.067397078,-0.03239587,-0.002575423,-0.189597934,0.049157943,-0.029501085,0.07197139,0.041701418,-0.041232986,-0.052192067,0.006075263,Cotton Ginning,1
Austin,115112,15,6,17,16,9,29,16,15,12,10,5,3,3.47366E-06,0.038253041,-0.6,1.833333333,-0.058823529,-0.4375,2.222222222,-0.448275862,-0.0625,-0.2,-0.166666667,-0.5,-0.093038669,-0.032255495,0.052999753,-0.014849551,0.000476002,-0.061137103,0.025168919,0.033448674,-0.047114158,-0.007027524,-0.049540821,-0.003344593,"Soil Preparation, Planting, and Cultivating",1
Austin,115113,0,2,4,2,2,2,3,2,3,0,0,0,0,0,NA,1,-0.5,0,0,0.5,-0.333333333,0.5,-1,NA,-0.057575758,-0.06795165,-0.116368735,-0.028560095,-0.130665578,-0.102865195,-0.004712042,0.100999474,0.149546106,0.05361596,-0.172386588,0.011719138,"Crop Harvesting, Primarily by Machine",1
Austin,115114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01697856,0.124268828,0.006937105,-0.021609839,0.072120145,-0.012853404,0.058502482,-0.150952662,0.032446501,0.013276567,-0.007940361,Postharvest Crop Activities (except Cotton Ginning),1
Austin,115115,0,0,0,0,0,0,0,0,5,2,2,2,1.38946E-06,0.015681706,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0,-0.025454545,0.106622895,0.314587901,0.046703297,-0.220847394,0.284167469,0.046468053,-0.004834378,-0.100035984,0.18822471,-0.069824178,-0.016944986,Farm Labor Contractors and Crew Leaders,1
