"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",221122,393,492,523,527,520,504,479,590,711,760,744,617,608,714,779,767,0.000541196217323281,0.17422960141074,0.0510118126186163,-0.00534130803110311,0.0244011670214592,0.0617243973128645,0.0788524439623715,0.0810069343078312,0.0519374825322061,0.00602856812537467,0.000842461178503395,0.00495073711948857,-0.00297171238485965,0.00397415204620954,0.00905167697371256,-0.00857608322547931,0.00756772481647316,-0.00879517368993743,-0.00300427243420553,-0.00493859544286812,-0.00893798652706612,-0.0177839130269821,-0.00325109872247586,-0.00173584219971671,"Electric Power Distribution","2"
"Austin",221210,495,579,503,403,424,356,112,276,313,138,135,269,318,335,400,481,0.000277892794517731,0.380649660239218,-0.0637993036796131,-0.280040789928679,-0.11311314223231,-0.0492904460484055,-0.20108119089306,-0.176285418278675,0.191535130828635,0.0287352173837727,0.0136781700542776,0.237189373192176,0.0377057279578953,-0.0380048317633314,-0.0182667642219477,-0.00467241199239021,0.0106949822867344,0.0196407563844936,0.0198280770252894,0.0211880503494406,0.00566118421095685,0.00764192639724892,0.00626758289967677,0.00401907316452788,"Natural Gas Distribution","2"
"Austin",221320,61,50,11,12,14,19,4,10,10,10,10,26,20,26,37,51,0.0000257050834928901,0.485230448622546,-0.208073723716744,-0.396582366345484,-0.0188815042737357,-0.0358074959973728,-0.0650801238515298,-0.120472789986242,0.454061151100997,0.148698354997035,0.210583275107595,0.29909330563866,0.0670713656114208,0.00253488678074909,-0.0342709429848844,-0.00824770510709882,0.0485154642942625,0.0134796678573426,0.00845132564978601,0.0339726694848748,0.000658801553888866,-0.0346577532675675,-0.0195743228804236,-0.0012473621349098,"Sewage Treatment Facilities","2"
"Austin",236115,0,0,2190,2470,2506,2055,2151,2111,1859,1463,1419,1288,1401,1633,1496,1469,0.00103931905149631,0.711662566358883,NA,NA,-0.00732102477221164,-0.0552508990497257,-0.102048972178711,-0.0713883799448166,-0.0974836246618319,-0.0787235273384614,-0.0255908375993675,0.00447111725328853,-0.00358755094151302,NA,NA,-0.0702772358901366,-0.131423776296575,-0.181408473554696,-0.128824140498976,-0.124726669920086,-0.104369442145774,-0.0416141559354779,0.00948375629943077,-0.00184079190270586,"New Single-Family Housing Construction (except Operative Builders)","2"
"Austin",236116,0,0,347,280,284,248,331,333,323,272,241,243,264,289,465,471,0.000323050373626862,1.16249319764047,NA,NA,-0.00820263130754628,0.0289846548007937,-0.00859726470119937,-0.00570999817191675,-0.0599398218016598,-0.0453769012228004,-0.0219995286769676,0.113209258732934,0.00251593403032295,NA,NA,0.00926617975999422,-0.0311465911306019,-0.0668991236570433,-0.098124823803053,-0.112501108358289,-0.101399258701483,-0.0498689204109132,0.00416646481075222,-0.00691030729524897,"New Multifamily Housing Construction (except Operative Builders)","2"
"Austin",236117,0,0,2048,1844,2228,3378,3357,3654,2473,2161,1904,1956,2248,2492,3152,3062,0.00218979522079972,2.51165881585992,NA,NA,0.122762032767096,0.060455966470901,-0.00608804122374684,-0.10833553403809,-0.102398640191832,-0.0925858384902357,0.00153189463084091,0.0784159148408168,-0.00576414650367253,NA,NA,0.0473957402144416,-0.0611339342437923,-0.0930869700941807,-0.183428401875412,-0.17914865254666,-0.125392805731728,-0.036105201850928,0.0030245869237302,-0.00929602089129456,"New Housing Operative Builders","2"
"Austin",236118,0,0,1334,1168,1153,1416,1667,1612,1480,1532,1632,1600,1635,1810,1992,2016,0.0013839061166983,0.530588057762115,NA,NA,0.0385845113595702,0.0484887489362629,0.0584878849160355,0.0288010059126338,-0.00817083071073277,0.00283745001553393,0.0410782464446158,0.0539162814169452,0.00239026262545604,NA,NA,0.0844589204876123,0.0336319123170066,0.0163602052175382,-0.0597201563493032,-0.0533944019009677,-0.0171423363724947,0.0212611278790602,0.034453929275152,-0.0023409232114637,"Residential Remodelers","2"
"Austin",236220,6206,6534,6678,6682,6303,6546,6889,7582,9624,8721,7590,7419,5916,6534,7450,7104,0.00517575329789274,1.19468267127876,0.0107246228844686,0.010637504881273,0.0257168101127871,0.075696680923885,0.0670967467397425,0.0300377819418227,0.0149340836003709,-0.0484121745933471,-0.0745249753264262,-0.0310128958306347,-0.00946525278902399,-0.00714646446311129,0.0106980925644418,0.0114728446363073,-0.0171271311761644,-0.0336372595374173,-0.0572295457707293,-0.0768679456307991,-0.0609268796238819,-0.0291464332882491,0.00266060467058793,-0.00457855399796185,"Commercial and Institutional Building Construction","2"
"Austin",237110,72,93,2862,2675,2465,3150,3394,3096,2250,1986,1910,1984,4689,5427,6257,4047,0.00434693803824361,3.25336358122544,1.12909780137285,1.0532686577417,0.0158422333049981,-0.0340119667886583,-0.0422934358248691,-0.0952167277656679,-0.101814652451849,0.0865653616355617,0.192546880472686,0.257990560003923,-0.0834408080029152,0.552516022317986,0.533090904189878,0.00747264165608597,-0.0337940648132528,-0.0499854692524051,-0.0768594229593879,-0.0582836849648021,-0.0486934018810061,-0.0120689021554692,0.012594424194974,-0.0548884003598281,"Water and Sewer Line and Related Structures Construction","2"
"Austin",237210,1399,1710,669,630,740,899,1161,1071,869,676,554,479,477,470,481,451,0.000334166085407571,1.54424334265613,-0.0846474506127464,-0.0745196079824213,0.0986836727133029,0.0664385737651232,-0.0179287546937761,-0.0922839499932175,-0.162276576772171,-0.149360037660022,-0.115667438335376,-0.0658004019612408,-0.0128432155962732,-0.0278100579559709,-0.035802587654071,0.0211407474940626,-0.0414334807635222,-0.0951438059125557,-0.139362058273948,-0.0669613982930644,-0.179603372862608,-0.130033136902728,-0.0952770619488675,-0.0144929665903639,"Land Subdivision","2"
"Austin",237310,3423,3404,2924,3404,4004,4531,5086,4766,4213,3600,3282,3549,3596,3878,4590,4327,0.00318881981709096,1.48763585072155,0.0576876481198616,0.0836208703683592,0.102644038926728,0.0435671064308212,-0.0210473498997881,-0.0624619493520669,-0.0694366826872914,-0.0547795066547171,-0.0164345400765549,0.0497890463242852,-0.0117516302059905,0.034231992625797,0.0359109069512913,0.00505658090109562,-0.0208918449727594,-0.023703835408177,-0.0409934207136778,-0.0480604463181983,-0.0441168503217856,-0.0180329885479227,-0.0116115468591363,-0.00687794951100074,"Highway, Street, and Bridge Construction","2"
"Austin",238110,0,0,3073,2863,3158,4408,4784,5080,4347,3937,3398,3005,2662,3053,3209,2964,0.0022293949440185,1.3741853141459,NA,NA,0.105758357203954,0.0871104198494272,0.0450826981023189,-0.0507155699356763,-0.0888063992285804,-0.121242857900677,-0.0682327690140261,-0.0400671356810509,-0.0157381115455928,NA,NA,0.0169852157029293,-0.0518302177714273,-0.0902380496165179,-0.124643793694264,-0.111074887501829,-0.0945285352097818,-0.0265946800997783,0.0226185528035268,-0.00455941995938917,"Poured Concrete Foundation and Structure Contractors","2"
"Austin",238120,0,0,404,454,533,475,605,833,703,672,518,622,568,544,614,579,0.000426565439584717,0.752121312340103,NA,NA,0.155720261727273,0.0913898096281685,0.047438210276519,0.0174831598126453,0.00555771404929151,-0.0737234554410462,-0.0499888228074723,-0.0178907089529882,-0.0117915640198261,NA,NA,0.0600938030882172,0.0160736158193555,-0.0360889722896277,-0.0633765608000725,-0.0555295333831723,-0.0650967889023578,-0.0185510957974786,0.0479354646058476,-0.00343326354667046,"Structural Steel and Precast Concrete Contractors","2"
"Austin",238130,0,0,509,560,509,530,640,427,337,337,285,356,366,436,492,507,0.000341808137256809,0.58606086077927,NA,NA,-0.0345228082689015,-0.0965827583685382,-0.0791637157736135,-0.116688676043013,-0.11068830253668,-0.0303597339044209,0.0528616758942695,0.0786164523424058,0.00617305200842496,NA,NA,-0.0616350284706114,-0.147549569678298,-0.177298297519599,-0.215877052293358,-0.181617521208862,-0.102206090964439,-0.0160648513169462,0.0233141649376638,-0.00149251149463174,"Framing Contractors","2"
"Austin",238140,1247,1123,1398,1551,1510,1960,2079,2208,2106,1415,1252,1197,1133,1395,1390,1228,0.000965677460949115,0.902310016675274,0.0946566596931935,0.131084228129285,0.095716948957153,0.0630882396180987,-0.0129119402724088,-0.0857401426498752,-0.104536409375181,-0.124923203698213,-0.0790773211150845,-0.00355880916471729,-0.0244483210731268,0.0675517154999019,0.0659025974121812,0.00398167532835192,-0.0563437910756108,-0.0966413681133909,-0.130789819274359,-0.124204631371475,-0.107282522050147,-0.0570827788435282,-0.0112717753355613,-0.0143294606681829,"Masonry Contractors","2"
"Austin",238150,749,524,441,499,550,638,718,779,827,749,706,702,800,918,961,946,0.000667637438828849,1.51639082290315,-0.0315710309616927,0.0650221285699015,0.120520415500944,0.106320583783278,0.0637114292867162,0.020461923367318,-0.00449709067347559,0.00533431341501678,0.0210980206404172,0.0511103536418758,-0.00312102626541558,0.0247625398592013,0.0342558944933684,0.0509709485068932,0.0260767206644947,-0.00635238386420012,-0.0440724799628068,-0.0574356178431421,-0.0543888755065294,-0.0270765636319075,0.0233714305881416,-0.0076175964970006,"Glass and Glazing Contractors","2"
"Austin",238160,0,0,1944,1911,2018,1988,2091,1883,1669,2074,1905,1728,1817,1796,1944,1940,0.00135055898135617,1.03492211210246,NA,NA,-0.00635600586557084,-0.0267170175793133,0.00548944969035992,-0.0084931476294533,-0.037417546016432,-0.00711049202769409,0.014775560152571,-0.0128628381397924,-0.000376928700799516,NA,NA,0.0105955066856955,-0.0288524689152806,-0.0395518813952914,-0.0570842125239581,-0.0511222015260226,-0.042590078813297,-0.0100358876539325,0.00883899691271983,-0.00206648301708427,"Roofing Contractors","2"
"Austin",238170,0,0,255,235,224,302,276,327,282,234,159,133,160,264,181,170,0.000125746489519273,0.484918453347691,NA,NA,0.0509970921528746,0.0371372893366482,0.00877327424786456,-0.120414550864421,-0.135851238640132,-0.133208894893655,-0.0131049658257107,-0.0500679438794986,-0.0127971490907317,NA,NA,-0.0193166323343661,-0.0611672489856608,-0.0722259429344139,-0.0938622689649482,-0.0846539834140437,-0.0795211371711166,-0.0371981689689995,-0.0184828325111344,-0.00496879835686449,"Siding Contractors","2"
"Austin",238190,0,0,0,0,0,0,0,0,0,0,0,0,288,296,380,380,0.000263998154791844,0.644144293485312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Other Foundation, Structure, and Building Exterior Contractors","2"
"Austin",238210,10333,8458,7144,7188,8223,9329,10574,10814,9676,9402,8618,8737,9434,9556,11312,11067,0.00785880822896143,1.25029771035026,-0.0202354250799215,0.0456692214553038,0.086448097790482,0.0612496456718976,0.0271597462270656,-0.0157299295586837,-0.03744710193273,-0.0269348889655375,-0.00249276055635794,0.0376809165418233,-0.00437443425373127,-0.00315587004409845,0.0138783026262179,0.0335788328641538,0.000675563576649107,-0.0255877566060951,-0.0440550562511731,-0.0375018373605521,-0.0374383777405175,-0.00439662357449033,0.0262946914018358,-0.00212699991437326,"Electrical Contractors","2"
"Austin",238220,0,0,9454,9679,10165,11384,11702,12889,12196,12730,12007,11286,11848,11948,12638,12393,0.00878002284278771,1.14560728522761,NA,NA,0.063948790370665,0.0473151482513565,0.0460301539526318,0.0107131698643148,-0.0072132085920138,-0.0167019806546744,-0.00410039607919654,-0.00144960115538029,-0.00390245510726014,NA,NA,0.0213134403928457,-0.0086312918993745,-0.0248537451928297,-0.0425614878156853,-0.0404328625471547,-0.0368716899719312,-0.00276126244948094,0.0244970863507279,-0.00122965555381755,"Plumbing, Heating, and Air-Conditioning Contractors","2"
"Austin",238290,0,0,1659,1764,2315,2395,2757,2874,2874,2695,2724,2770,3560,3803,3547,3573,0.00246421435538598,2.293311246028,NA,NA,0.116164165998335,0.102548332096706,0.0308644306919419,0.0260778606936252,0.000941280358075725,0.0437407672981371,0.0576157563929556,0.0564780632858612,0.00145386754914086,NA,NA,0.0552046323275921,0.0512292709471367,0.0313543595436054,0.00269036562099467,0.00364741813456582,-0.0167290687806653,-0.0221030114624625,-0.00121280036652882,-0.00422251116022792,"Other Building Equipment Contractors","2"
"Austin",238310,0,0,1823,2336,2645,2654,2789,2584,2324,2367,2191,2378,2546,2522,2454,2432,0.00170487229436628,0.964820810911448,NA,NA,0.0722626243489914,-0.00102951488080927,-0.0219647307362433,-0.037616226637136,-0.0313817059394276,-0.00295863175410238,0.0164869132813918,0.00724532441885684,-0.00183150325365311,NA,NA,0.013127276897086,-0.0436013463030828,-0.0849108574165407,-0.114945961261842,-0.104654035658148,-0.0785510554099847,-0.0290285242402523,0.0205075219859892,-0.00418313215305281,"Drywall and Insulation Contractors","2"
"Austin",238320,0,0,1893,1881,2063,2206,2091,2115,1882,2038,1903,1876,1812,1857,1772,1739,0.00123106507971355,0.893600142435368,NA,NA,0.0224261568161197,0.000106303818709463,-0.00243548922955394,-0.0291175380796033,-0.0214663603789861,-0.0304514430015026,-0.00267097833145113,-0.0275844220110398,-0.00377421022394402,NA,NA,0.00912824062182782,-0.0413882823644037,-0.0658511315573983,-0.0903691861333789,-0.083128767073463,-0.0649422863082648,-0.0180876376344953,0.0101769601403636,-0.00336432100322312,"Painting and Wall Covering Contractors","2"
"Austin",238330,0,0,0,0,0,0,0,0,0,0,0,0,911,936,978,978,0.000679447882595852,1.19780125374631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Flooring Contractors","2"
"Austin",238340,483,384,437,583,445,455,568,479,434,381,315,486,390,435,449,443,0.000311934661846153,0.749950586121925,-0.0118728023304071,0.0814424731012218,0.0185229407265959,-0.0573201263075872,-0.0305777285906003,-0.0709056235374398,-0.0307013972260967,-0.0402771860272819,0.000460405351679904,0.033390043912906,-0.0025089769668408,0.077662868925946,0.0666463607322825,0.0447155899979914,-0.0249440080989413,-0.0737775740216997,-0.1072887076601,-0.0976051192153542,-0.080177097683085,-0.0259516276857226,0.0237174663138744,-0.0121797118050164,"Tile and Terrazzo Contractors","2"
"Austin",238350,0,0,648,717,665,788,1019,1027,832,742,761,761,766,765,881,858,0.000612058879925302,0.593922374987732,NA,NA,0.0964758924399751,0.0301983124255802,0.0221542812366347,-0.00694869181654023,-0.0567168111030849,-0.0569566320254434,-0.016651132908485,0.0349381604281831,-0.00520682092407279,NA,NA,0.0231067317605118,-0.0396127890780508,-0.0728940150678136,-0.099234429137713,-0.081712830271893,-0.0585873657302978,-0.00889617648815755,0.031291163471509,-0.00207129569259998,"Finish Carpentry Contractors","2"
