"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",113110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"Detroit",113210,0,2,1,1,3,3,33,15,14,0,0,0,0,0,5,2,0.00000265654628792818,0.214194493889498,NA,0.751849481050883,0.718771927587479,0.695218203072435,-1,-1,-1,-1,-1,NA,-0.157227034027339,0.00435177455787406,-0.030879109359302,-0.00458022676013836,-0.0432895837550074,-0.031739028631201,-0.0524770100832118,-0.0567437525115209,-0.067253657547548,0.00748069593271983,-0.0168691394143877,-0.0017996195779685,"Forest Nurseries and Gathering Forest Products","1"
"Detroit",113310,50,17,21,15,6,2,5,3,3,0,0,3,0,9,5,6,0.00000265654628792818,0.0063517312850263,-0.474694439119247,-0.217103743236495,-0.322389086599519,-0.275220336322304,-1,-1,-0.0971195485525658,-1,0.245730939615517,NA,0.0282323668384492,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"Detroit",114111,15,17,18,16,12,16,15,15,15,15,14,14,13,26,19,20,0.0000100948758941271,0.333151160987727,0.0129913682242364,-0.0247219104405273,-0.0358074959973728,-0.0128247570825901,0.0456395525912732,-0.0263528193848319,-0.0137038103409706,-0.0282144910993144,0.116288415484174,0.0484131712847216,0.00769214546518983,-0.033253893085236,-0.0470656176424126,-0.0258546544040338,-0.0107815493137076,0.0193550512334144,-0.0021824130852276,0.0170404193325648,-0.00145274038971055,-0.000101286338551443,-0.0326333013775101,0.00314105246174759,"Finfish Fishing","1"
"Detroit",114112,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,0.0121212121212121,-0.0502553488760524,-0.00160575840206778,-0.0405935619735323,-0.0409688386512098,-0.00172726808794965,0.0014621133054693,-0.00923548182077705,0.0271445969578039,0.0211962940624593,-0.0137678903500538,0.0056065560031944,"Shellfish Fishing","1"
"Detroit",114210,25,63,80,64,63,96,70,94,71,52,45,45,49,47,29,24,0.0000154079684699834,1.02730974569309,0.308778779882475,0.0212956876001351,0.0327794154362462,0.0209763330387365,-0.0376510898039956,-0.140614036206261,-0.0845747343304982,-0.122163478462447,-0.0791945060228477,-0.110227598595389,-0.0343564810888793,-0.0481279186960559,-0.0565142020757432,-0.0610006109817981,-0.0625867460700447,-0.0220748124301611,-0.0459954986232239,-0.0310762923122981,-0.0484674505323671,-0.0475564287625665,-0.0079627971045847,0.00337858778692612,"Hunting and Trapping","1"
"Detroit",115111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"Detroit",115112,14,25,24,37,27,12,15,14,9,11,15,14,21,18,22,26,0.000011688803666884,0.128720799080655,-0.0303597339044209,-0.0971195485525658,-0.102192231762875,-0.246283266866957,-0.164385852621967,0.0456395525912732,-0.0137038103409706,0.0844717711976986,0.148698354997035,0.148698354997035,0.031353526754875,-0.0185567385533889,-0.0046244757010675,-0.020016783644261,-0.0269250649278132,-0.0116743219570268,-0.000214065787211282,-0.00395456124753391,-0.0105660366397394,-0.0120546514330737,-0.00962611641928235,0.00094539315949198,"Soil Preparation, Planting, and Cultivating","1"
"Detroit",115113,0,0,3,3,3,2,0,0,0,0,3,0,0,3,0,0,0,0,NA,NA,-1,-1,-1,0.0844717711976986,NA,NA,NA,NA,0.0550574046739255,-0.0687717349595794,-0.0873250438734872,-0.0830506092053901,-0.0841995775590554,-0.0900154736082747,-0.077989070841777,-0.0365276037067912,-0.00353656365876653,0.0355246952845656,0.0189536358848406,0.0133459943258337,"Crop Harvesting, Primarily by Machine","1"
"Detroit",115114,0,0,0,0,0,0,0,3,1,3,3,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-0.127272727272727,0.0226047410136045,0.0515133062460287,0.044693819471918,0.0289914274432714,0.0384556866432733,0.0322905220003407,0.0199204087445732,-0.0142831189776638,-0.0036239261982951,-0.014809537711573,-0.00636940635529576,"Postharvest Crop Activities (except Cotton Ginning)","1"
"Detroit",115115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545454545454545,0.0224618148401294,0.0795802280508013,0.11126453515473,0.0379677927120816,0.0878560042362642,0.0757631853681364,0.0175079815816026,-0.0127704752001436,0.0741708078849261,0.00707548049293916,-0.00527266820799863,"Farm Labor Contractors and Crew Leaders","1"
"Detroit",115116,77,82,80,80,2,2,3,3,3,5,2,2,3,6,4,6,0.00000212523703034254,0.0504869549358116,-0.518154448213355,-0.483986004971041,-0.481431355331676,-0.481431355331676,0.201124433981431,0,-0.0778920885182722,0,0.148698354997035,-0.043647500209963,0.0734303223934801,-0.0388283764332974,-0.0313720980526146,-0.0302923790645034,-0.0496133829315457,-0.0229722020463364,-0.024287725988323,-0.00578502194111241,0.0265100107832095,0.048813572992473,0.070593061187423,0.0118804493586059,"Farm Management Services","1"
"Detroit",115210,228,215,234,220,220,271,229,277,248,252,274,263,271,289,306,306,0.000162580632821204,0.977940832978588,0.0351585862244095,0.0126967226338774,0.0343149030922896,0.0242495928788153,0.0275325114811003,0.00220428296916642,0.0280732359836871,-0.00437015999993551,0.0310725677924142,0.0395949882075526,-0.000234691398184237,-0.010462077044464,-0.0213953364632048,-0.0157641594517723,-0.0101749214611414,0.000722842556007297,-0.00508454307264261,-0.00474564541590639,-0.0178225088868205,-0.0048675369725466,-0.00946997515336001,0.000756437629008229,"Support Activities for Animal Production","1"
"Detroit",115310,10,14,10,15,5,5,2,3,5,2,2,2,2,11,17,23,0.0000090322573789558,0.0897927885495186,-0.129449436703876,-0.322389086599519,-0.213996914403377,-0.197258438239769,-0.167446792598127,-0.167446792598127,0,-0.0778920885182722,0.170804912964892,0.534206382524911,0.0648336958433624,-0.0207994187492784,-0.00491004767452907,-0.0458701586301814,-0.0695406709865404,-0.0605786643575354,-0.0430989528564568,-0.0478755868919902,-0.0189815602907255,-0.00557610103677941,0.0189488991755882,0.00345448753497003,"Forestry Support Activities","1"
"Detroit",211111,44,41,58,58,53,108,162,114,146,139,99,100,82,24,23,16,0.0000122201129244696,0.0142349869999938,0.196724592490173,0.316273783851458,0.144709722696486,0.202776605887963,0.21268438687312,-0.017251730343854,-0.0919766908577797,-0.0637716234508283,-0.303098054067397,-0.302181293971805,-0.0665597489804882,0.0057978999551529,0.123063434185792,0.0756653828567524,0.0801608794954705,0.0745493856685824,0.0671381727429217,-0.0287655002445864,0.0330198424688131,0.0478601029919739,0.0408944306949532,-0.00459377330778212,"Crude Petroleum and Natural Gas Extraction","2"
"Detroit",211112,2,6,3,5,3,6,3,7,4,6,45,51,52,52,51,73,0.0000270967721368674,0.302914946772738,0.245730939615517,-0.129449436703876,0.184664452542244,-0.043647500209963,0.148698354997035,0.496277869738845,0.762340347832317,0.49341689684994,0.67027765233481,0.534206382524911,0.0757798417567423,0.0612882942504609,-0.0398350353395837,-0.0394078580425616,-0.0407530628704549,-0.0423759145396516,-0.0572512033411763,0.0262790623432052,0.0703876048769754,0.0385607484959871,0.0286923714247085,0.00600367019911736,"Natural Gas Liquid Extraction","2"
