"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"LafayetteCounty",221122,36,42,48,38,72,72,75,68,63,61,57,62,56,60,63,57,0.00393086666250702,1.26357313746268,0.148698354997035,0.122955107056821,0.0721450259008509,0.106398021719422,-0.03261473568763,-0.0456482551889928,-0.0373551644989021,-0.0380869364095545,-0.00971057771313766,0.00647303254846365,-0.0194190338493043,0.00397415204620954,0.00905167697371256,-0.00857608322547931,0.00756772481647316,-0.00879517368993743,-0.00300427243420553,-0.00493859544286812,-0.00893798652706612,-0.0177839130269821,-0.00325109872247586,-0.00173584219971671,"Electric Power Distribution","2"
"LafayetteCounty",221210,15,18,0,0,0,0,0,13,12,12,11,12,11,6,12,19,0.000748736507144194,1.01643598400733,-1,-1,NA,NA,NA,NA,NA,-0.0328588399993937,-0.129449436703876,0,0.0904821802610661,-0.0380048317633314,-0.0182667642219477,-0.00467241199239021,0.0106949822867344,0.0196407563844936,0.0198280770252894,0.0211880503494406,0.00566118421095685,0.00764192639724892,0.00626758289967677,0.00401907316452788,"Natural Gas Distribution","2"
"LafayetteCounty",236115,0,0,34,45,44,16,15,40,43,24,23,29,30,30,30,30,0.00187184126786049,1.26665774579833,NA,NA,0.0330378041139323,-0.00905126326579364,-0.114167289655243,0.0752800064055696,0.140936168422928,-0.055912488705098,-0.0694696130087941,0.0456395525912732,0.000721980662374092,NA,NA,-0.0702772358901366,-0.131423776296575,-0.181408473554696,-0.128824140498976,-0.124726669920086,-0.104369442145774,-0.0416141559354779,0.00948375629943077,-0.00184079190270586,"New Single-Family Housing Construction (except Operative Builders)","2"
"LafayetteCounty",236116,0,0,7,5,2,0,6,2,2,0,0,0,0,0,3,2,0.000187184126786049,0.666032739154306,NA,NA,-0.221629458448829,-0.167446792598127,-1,NA,-1,-1,-1,NA,-0.075087953514918,NA,NA,0.00926617975999422,-0.0311465911306019,-0.0668991236570433,-0.098124823803053,-0.112501108358289,-0.101399258701483,-0.0498689204109132,0.00416646481075222,-0.00691030729524897,"New Multifamily Housing Construction (except Operative Builders)","2"
"LafayetteCounty",236117,0,0,2,3,14,29,29,14,11,10,11,7,6,7,5,4,0.000311973544643414,0.361794776696112,NA,NA,0.475773161594552,0.296744116109658,-0.0650801238515298,-0.176243342649824,-0.247441945265591,-0.15587912015589,-0.0864315960065141,-0.129449436703876,-0.0404366600851923,NA,NA,0.0473957402144416,-0.0611339342437923,-0.0930869700941807,-0.183428401875412,-0.17914865254666,-0.125392805731728,-0.036105201850928,0.0030245869237302,-0.00929602089129456,"New Housing Operative Builders","2"
"LafayetteCounty",236118,0,0,27,16,15,24,28,10,9,6,13,15,8,4,5,5,0.000311973544643414,0.118784620455131,NA,NA,-0.180163504716879,-0.108698771016998,-0.167446792598127,-0.115401044737965,-0.117353820866853,-0.043647500209963,-0.149716999582806,-0.0358074959973728,-0.00400985357703527,NA,NA,0.0844589204876123,0.0336319123170066,0.0163602052175382,-0.0597201563493032,-0.0533944019009677,-0.0171423363724947,0.0212611278790602,0.034453929275152,-0.0023409232114637,"Residential Remodelers","2"
"LafayetteCounty",236220,26,53,107,61,58,77,56,38,44,31,77,76,103,112,104,118,0.00648904972858302,1.49024706240887,0.242520250153924,0.011072810189348,-0.18701980892056,-0.0632481309408313,-0.11776000888023,0,0.0629800482623444,0.22070500610955,0.205460736101572,0.27389704174985,0.0253222741053891,-0.00714646446311129,0.0106980925644418,0.0114728446363073,-0.0171271311761644,-0.0336372595374173,-0.0572295457707293,-0.0768679456307991,-0.0609268796238819,-0.0291464332882491,0.00266060467058793,-0.00457855399796185,"Commercial and Institutional Building Construction","2"
"LafayetteCounty",237110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0.000187184126786049,0.142636811378671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.552516022317986,0.533090904189878,0.00747264165608597,-0.0337940648132528,-0.0499854692524051,-0.0768594229593879,-0.0582836849648021,-0.0486934018810061,-0.0120689021554692,0.012594424194974,-0.0548884003598281,"Water and Sewer Line and Related Structures Construction","2"
"LafayetteCounty",237210,22,23,15,23,11,12,17,9,177,166,166,175,175,175,175,211,0.0109190740625195,50.0683612132784,-0.114167289655243,-0.0586649772894917,-0.0971195485525658,0.504004328219365,0.720850255218371,0.691162610653192,0.594108308974583,0.810335666732959,-0.00227017098535065,0.0106155868442424,0.0381558176166815,-0.0278100579559709,-0.035802587654071,0.0211407474940626,-0.0414334807635222,-0.0951438059125557,-0.139362058273948,-0.0669613982930644,-0.179603372862608,-0.130033136902728,-0.0952770619488675,-0.0144929665903639,"Land Subdivision","2"
"LafayetteCounty",237310,67,106,121,83,103,64,56,37,52,49,48,39,28,31,18,18,0.00112310476071629,0.523917676877871,-0.00912006481729599,-0.119809995556268,-0.210988613428233,-0.0892796305411574,-0.138070448127127,-0.055912488705098,-0.0698021829247174,-0.0542175271397357,-0.0982800671087513,-0.181506405451123,-0.00288679898701811,0.034231992625797,0.0359109069512913,0.00505658090109562,-0.0208918449727594,-0.023703835408177,-0.0409934207136778,-0.0480604463181983,-0.0441168503217856,-0.0180329885479227,-0.0116115468591363,-0.00687794951100074,"Highway, Street, and Bridge Construction","2"
