"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"LafayetteCounty",113110,0,2,2,2,3,2,2,3,3,2,2,3,0,0,2,1,0.000124789417857366,3.68051708467004,NA,0,0.0844717711976986,0.0844717711976986,-0.0778920885182722,0,0.0844717711976986,-1,-1,0,-0.0748149501058801,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"LafayetteCounty",113210,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,0.127272727272727,0.00435177455787406,-0.030879109359302,-0.00458022676013836,-0.0432895837550074,-0.031739028631201,-0.0524770100832118,-0.0567437525115209,-0.067253657547548,0.00748069593271983,-0.0168691394143877,-0.0017996195779685,"Forest Nurseries and Gathering Forest Products","1"
"LafayetteCounty",113310,7,21,27,20,16,9,13,15,14,11,9,5,0,0,0,0,0,0,0.0515474967972804,-0.091458412375693,-0.1109104638678,-0.0688500849051623,-0.0721996318709578,0,-0.173951911807867,-1,-1,-1,-0.124316800691175,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"LafayetteCounty",115111,2,3,2,2,3,2,2,2,3,2,3,3,2,2,2,2,0.000124789417857366,6.61689468890243,0,-0.0778920885182722,0,0.0844717711976986,-0.0778920885182722,0.0844717711976986,0.0844717711976986,0,-0.0778920885182722,0,0.000984023392218006,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"LafayetteCounty",115116,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,-0.0181818181818182,-0.0388283764332974,-0.0313720980526146,-0.0302923790645034,-0.0496133829315457,-0.0229722020463364,-0.024287725988323,-0.00578502194111241,0.0265100107832095,0.048813572992473,0.070593061187423,0.0118804493586059,"Farm Management Services","1"
"LafayetteCounty",115210,0,0,0,0,0,0,0,0,0,2,3,3,2,2,2,2,0.000124789417857366,0.744128509433117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.010462077044464,-0.0213953364632048,-0.0157641594517723,-0.0101749214611414,0.000722842556007297,-0.00508454307264261,-0.00474564541590639,-0.0178225088868205,-0.0048675369725466,-0.00946997515336001,0.000756437629008229,"Support Activities for Animal Production","1"
"LafayetteCounty",115310,55,46,34,55,15,29,34,38,44,9,40,44,50,44,33,38,0.00205902539464653,19.8585675790452,-0.120153194258685,-0.0586649772894917,0.0224943947595515,-0.043647500209963,-0.0971195485525658,0.0664301101684319,0.0529184890651104,0.056421622299043,0,0.296744116109658,0.0290037236277891,-0.0207994187492784,-0.00491004767452907,-0.0458701586301814,-0.0695406709865404,-0.0605786643575354,-0.0430989528564568,-0.0478755868919902,-0.0189815602907255,-0.00557610103677941,0.0189488991755882,0.00345448753497003,"Forestry Support Activities","1"
"LafayetteCounty",211111,0,0,0,0,0,0,3,3,3,5,3,3,3,3,3,3,0.000187184126786049,0.214824090587033,NA,NA,NA,NA,NA,NA,0,0,0,-0.0971195485525658,-0.00529742992104904,0.0057978999551529,0.123063434185792,0.0756653828567524,0.0801608794954705,0.0745493856685824,0.0671381727429217,-0.0287655002445864,0.0330198424688131,0.0478601029919739,0.0408944306949532,-0.00459377330778212,"Crude Petroleum and Natural Gas Extraction","2"
"LafayetteCounty",212321,0,0,35,35,35,35,0,0,0,0,0,0,0,0,3,4,0.000187184126786049,1.05677112034498,NA,NA,-1,-1,-1,-1,NA,NA,NA,NA,0.0484848484848485,-0.00181245783477424,0.01698399042552,-0.0133681525510858,-0.0547898856056616,-0.0580182677147099,-0.073155625900884,-0.0938527812188885,-0.035858094338919,0.0135926865071567,0.00590193124144966,-0.00120657805883363,"Construction Sand and Gravel Mining","2"
"LafayetteCounty",213112,0,0,3,3,3,3,3,3,3,0,0,3,3,3,3,3,0.000187184126786049,0.0900937572097092,NA,NA,0,0,-1,-1,0,0,0,NA,0.00000000000000000611157660660644,NA,NA,0.15149583694152,0.123385514578387,0.100328800594323,0.0895495598359612,0.0688853652029855,0.0877148124220331,0.110460182312412,0.119010813178097,0.00818868959580458,"Support Activities for Oil and Gas Operations","2"
"LafayetteCounty",213114,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,NA,NA,0.272208486310604,0.337422553326486,0.300535830313804,0.146459863689249,0.0645350478751212,-0.0659954064931267,-0.0829195889863277,-0.0967968970900658,-0.0249416190528011,"Support Activities for Metal Mining","2"
"LafayetteCounty",221310,32,16,19,33,27,27,23,22,22,22,23,20,23,22,15,15,0.000935920633930243,3.13046211833455,-0.0334089775341186,0.0752800064055696,0.0297547785704131,-0.0778920885182722,-0.0401314034946031,-0.0315597874172574,-0.0275653352035979,0.00892998907199627,0,-0.0737382810843932,-0.00505755059552833,-0.00862923890229894,-0.0194577676200542,-0.00745974263566218,-0.00459538051902086,-0.00557120552508139,-0.00544744172880751,0.0123659730723735,-0.0060064903645094,0.0015262856404219,0.00655468919615032,0.0020716231008218,"Water Supply and Irrigation Systems","2"
