"Description","People(+)","Avg Wage","Net Gain"
"Hotels (except Casino Hotels) and Motels","77","$ 28,805","$ 2,217,985"
"Custom Computer Programming Services","18","$ 109,386","$ 1,968,948"
"Drugs and Druggists' Sundries Merchant Wholesalers","15","$ 111,954","$ 1,679,310"
"Administrative Management and General Management Consulting Services","11","$ 106,739","$ 1,174,129"
"Investment Advice","7","$ 164,393","$ 1,150,751"
"Marketing Research and Public Opinion Polling","14","$ 72,716","$ 1,018,024"
"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","8","$ 126,209","$ 1,009,672"
"Telemarketing Bureaus","27","$ 33,519","$ 905,013"
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","13","$ 67,663","$ 879,619"
"Internet Publishing and Broadcasting and Web Search Portals","2","$ 197,549","$ 395,098"
