"Description","People(-)","Avg Wage","Net Loss"
"Small Arms Ammunition Manufacturing","-751","$ 56,088","$ -42,122,088"
"Custom Computer Programming Services","-310","$ 109,386","$ -33,909,660"
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","-153","$ 67,663","$ -10,352,439"
"Fluid Power Valve and Hose Fitting Manufacturing","-136","$ 67,672","$ -9,203,392"
"Marketing Research and Public Opinion Polling","-66","$ 72,716","$ -4,799,256"
"All Other Nondepository Credit Intermediation","-48","$ 63,145","$ -3,030,960"
"Investment Advice","-18","$ 164,393","$ -2,959,074"
"Administrative Management and General Management Consulting Services","-26","$ 106,739","$ -2,775,214"
"Drugs and Druggists' Sundries Merchant Wholesalers","-13","$ 111,954","$ -1,455,402"
"Rooming and Boarding Houses","-54","$ 25,231","$ -1,362,474"
