"Description","People(+)","Avg Wage","Net Gain"
"Specialized Freight (except Used Goods) Trucking, Long-Distance","205","$ 54,964","$ 11,267,620"
"Oil and Gas Pipeline and Related Structures Construction","100","$ 78,335","$ 7,833,500"
"General Freight Trucking, Long-Distance, Truckload","156","$ 46,728","$ 7,289,568"
"Commercial Gravure Printing","121","$ 49,685","$ 6,011,885"
"Apparel Accessories and Other Apparel Manufacturing ","132","$ 39,114","$ 5,163,048"
"Offices of Other Holding Companies","31","$ 165,795","$ 5,139,645"
"Corporate, Subsidiary, and Regional Managing Offices","41","$ 114,954","$ 4,713,114"
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","79","$ 56,867","$ 4,492,493"
"All Other Insurance Related Activities","54","$ 82,305","$ 4,444,470"
"Computer Systems Design Services","35","$ 105,162","$ 3,680,670"
