"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Oxford",221122,265,263,294,293,303,363,315,343,313,269,277,282,101,217,290,268,0.00791765637371338,2.54512268271743,0.0649571905168922,0.0367426403298994,0.0313103064775451,0.0132937021903254,-0.0235231979624217,-0.052640905123257,-0.0218899733396912,-0.216921228644619,-0.0706419197054281,0.0151474863390568,-0.0156109434376334,0.00397415204620954,0.00905167697371256,-0.00857608322547931,0.00756772481647316,-0.00879517368993743,-0.00300427243420553,-0.00493859544286812,-0.00893798652706612,-0.0177839130269821,-0.00325109872247586,-0.00173584219971671,"Electric Power Distribution","2"
"Oxford",221210,48,53,29,19,18,17,18,35,30,30,29,30,29,24,24,26,0.000655254320583176,0.889530647647115,-0.18746601127018,-0.194251831342457,0.0383266700886169,0.0956542577478539,0.10756634324829,0.112730046648818,0.10756634324829,-0.0369119576648704,-0.043647500209963,-0.043647500209963,0.0122018408400231,-0.0380048317633314,-0.0182667642219477,-0.00467241199239021,0.0106949822867344,0.0196407563844936,0.0198280770252894,0.0211880503494406,0.00566118421095685,0.00764192639724892,0.00626758289967677,0.00401907316452788,"Natural Gas Distribution","2"
"Oxford",221320,2,4,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.055912488705098,-1,-1,-1,-1,-1,NA,NA,NA,0.0326750752783981,0.00253488678074909,-0.0342709429848844,-0.00824770510709882,0.0485154642942625,0.0134796678573426,0.00845132564978601,0.0339726694848748,0.000658801553888866,-0.0346577532675675,-0.0195743228804236,-0.0012473621349098,"Sewage Treatment Facilities","2"
"Oxford",236115,0,0,78,88,83,35,30,51,52,32,31,40,39,36,36,37,0.000982881480874765,0.66510684550446,NA,NA,-0.0814662577923444,-0.0998722841083732,-0.173554199496327,-0.0239799711343384,0.0592238410488122,-0.0522388854177595,-0.0709056235374398,0.0238362555396097,0.00297688727758108,NA,NA,-0.0702772358901366,-0.131423776296575,-0.181408473554696,-0.128824140498976,-0.124726669920086,-0.104369442145774,-0.0416141559354779,0.00948375629943077,-0.00184079190270586,"New Single-Family Housing Construction (except Operative Builders)","2"
"Oxford",236116,0,0,21,20,17,7,41,2,2,0,0,0,0,0,3,2,0.000081906790072897,0.291438193420866,NA,NA,-0.375169615847057,-0.369042655519807,-1,-1,-1,-1,-1,NA,-0.0728304482073048,NA,NA,0.00926617975999422,-0.0311465911306019,-0.0668991236570433,-0.098124823803053,-0.112501108358289,-0.101399258701483,-0.0498689204109132,0.00416646481075222,-0.00691030729524897,"New Multifamily Housing Construction (except Operative Builders)","2"
"Oxford",236117,0,0,2,3,14,53,40,192,188,187,188,9,8,9,7,3,0.000191115843503426,0.221636466010103,NA,NA,1.49146187923103,1.28774344107366,0.679355783123001,0.288179536751165,-0.257944303048971,-0.470388079475594,-0.455476117972877,-0.481616360246659,-0.13551738994123,NA,NA,0.0473957402144416,-0.0611339342437923,-0.0930869700941807,-0.183428401875412,-0.17914865254666,-0.125392805731728,-0.036105201850928,0.0030245869237302,-0.00929602089129456,"New Housing Operative Builders","2"
"Oxford",236118,0,0,37,27,30,45,45,61,31,21,23,50,8,6,8,7,0.000218418106861059,0.0831631796012512,NA,NA,0.105161181900726,0.0280153179958833,-0.0688500849051623,-0.125614263663444,0.0212956876001351,-0.333880679446469,-0.279957864424282,-0.175531365218925,-0.0352219376643745,NA,NA,0.0844589204876123,0.0336319123170066,0.0163602052175382,-0.0597201563493032,-0.0533944019009677,-0.0171423363724947,0.0212611278790602,0.034453929275152,-0.0023409232114637,"Residential Remodelers","2"
"Oxford",236220,579,461,584,573,712,803,477,489,468,443,366,325,355,334,345,326,0.00941928085838316,2.16319125547444,0.0675971268003004,0.00684702399347636,-0.0348846959034864,-0.0396749750445431,-0.0905376045459089,-0.145419245663176,-0.0738677738503829,-0.062040905310545,-0.0652399938807413,-0.0487753987935982,-0.0111830481214224,-0.00714646446311129,0.0106980925644418,0.0114728446363073,-0.0171271311761644,-0.0336372595374173,-0.0572295457707293,-0.0768679456307991,-0.0609268796238819,-0.0291464332882491,0.00266060467058793,-0.00457855399796185,"Commercial and Institutional Building Construction","2"
"Oxford",237110,17,23,26,24,25,19,20,29,20,24,25,34,23,29,18,18,0.000491440740437382,0.374484425582105,0.0224943947595515,-0.0275653352035979,0.0220800938152379,-0.0358074959973728,-0.00813116071743369,0.056421622299043,0.111961585938579,-0.0453020992238582,0.0771435877927431,-0.055912488705098,0.00120151256619025,0.552516022317986,0.533090904189878,0.00747264165608597,-0.0337940648132528,-0.0499854692524051,-0.0768594229593879,-0.0582836849648021,-0.0486934018810061,-0.0120689021554692,0.012594424194974,-0.0548884003598281,"Water and Sewer Line and Related Structures Construction","2"
"Oxford",237210,26,49,24,38,26,31,32,16,177,166,166,175,175,175,175,197,0.00477789608758566,21.9085817884406,0.0358042035802142,-0.0816869000811319,-0.0778920885182722,0.360310135513681,0.448861752764964,0.398779564474669,0.404680695860327,0.613554404630848,-0.00227017098535065,0.0106155868442424,0.0234514031002543,-0.0278100579559709,-0.035802587654071,0.0211407474940626,-0.0414334807635222,-0.0951438059125557,-0.139362058273948,-0.0669613982930644,-0.179603372862608,-0.130033136902728,-0.0952770619488675,-0.0144929665903639,"Land Subdivision","2"
"Oxford",237310,170,113,121,83,103,64,56,37,52,49,48,39,28,33,20,21,0.000546045267152647,0.254724917784441,-0.177480485458809,-0.130995717452032,-0.210988613428233,-0.0892796305411574,-0.138070448127127,-0.055912488705098,-0.0698021829247174,-0.0542175271397357,-0.086934109184163,-0.164076021558898,0.00820313434356433,0.034231992625797,0.0359109069512913,0.00505658090109562,-0.0208918449727594,-0.023703835408177,-0.0409934207136778,-0.0480604463181983,-0.0441168503217856,-0.0180329885479227,-0.0116115468591363,-0.00687794951100074,"Highway, Street, and Bridge Construction","2"
"Oxford",238110,0,0,40,27,17,51,42,98,85,79,101,34,34,40,21,17,0.000573347530510279,0.351538252091796,NA,NA,0.196281032474844,0.257798383690218,0.35967663308005,0.146437120220806,-0.0413812366370623,-0.190809886035004,-0.139941062817558,-0.232782605488287,-0.0370961445788352,NA,NA,0.0169852157029293,-0.0518302177714273,-0.0902380496165179,-0.124643793694264,-0.111074887501829,-0.0945285352097818,-0.0265946800997783,0.0226185528035268,-0.00455941995938917,"Poured Concrete Foundation and Structure Contractors","2"
"Oxford",238120,0,0,2,3,4,12,33,33,2,2,3,62,67,70,68,102,0.001856553908319,3.23411589618283,NA,NA,0.751849481050883,-0.0778920885182722,-0.129449436703876,-0.242141716744801,0.134424376158339,0.152158352488971,1.0361680046404,1.02439745849989,0.0848397250312794,NA,NA,0.0600938030882172,0.0160736158193555,-0.0360889722896277,-0.0633765608000725,-0.0555295333831723,-0.0650967889023578,-0.0185510957974786,0.0479354646058476,-0.00343326354667046,"Structural Steel and Precast Concrete Contractors","2"
"Oxford",238130,0,0,13,6,11,15,7,7,2,0,0,0,0,0,0,0,0,0,NA,NA,-0.116450394021837,-0.197258438239769,-1,-1,-1,-1,-1,NA,-0.0837937740313425,NA,NA,-0.0616350284706114,-0.147549569678298,-0.177298297519599,-0.215877052293358,-0.181617521208862,-0.102206090964439,-0.0160648513169462,0.0233141649376638,-0.00149251149463174,"Framing Contractors","2"
"Oxford",238140,19,21,20,24,31,38,18,16,9,9,6,4,5,5,4,3,0.000109209053430529,0.101707493249891,0.148698354997035,-0.0303597339044209,-0.043647500209963,-0.178124085241387,-0.219134629895228,-0.308688899062997,-0.259785655025693,-0.207553403769443,-0.1109104638678,-0.149716999582806,-0.0266888593774565,0.0675517154999019,0.0659025974121812,0.00398167532835192,-0.0563437910756108,-0.0966413681133909,-0.130789819274359,-0.124204631371475,-0.107282522050147,-0.0570827788435282,-0.0112717753355613,-0.0143294606681829,"Masonry Contractors","2"
"Oxford",238150,0,0,0,2,0,2,2,2,2,8,9,2,3,3,2,2,0.0000546045267152647,0.12442133969701,NA,NA,NA,0,NA,0.350960038520614,0,0.0844717711976986,0.0844717711976986,-0.242141716744801,-0.0049372979261225,0.0247625398592013,0.0342558944933684,0.0509709485068932,0.0260767206644947,-0.00635238386420012,-0.0440724799628068,-0.0574356178431421,-0.0543888755065294,-0.0270765636319075,0.0233714305881416,-0.0076175964970006,"Glass and Glazing Contractors","2"
"Oxford",238160,0,0,39,34,33,36,30,31,36,35,37,36,29,29,30,30,0.00081906790072897,0.625707441879867,NA,NA,-0.0448767491326543,0.0114972741551362,0.0118376165182417,0.00549483637565062,0.0371372893366482,-0.0132497142969102,-0.0423229071815764,-0.0303597339044209,-0.00206536676260702,NA,NA,0.0105955066856955,-0.0288524689152806,-0.0395518813952914,-0.0570842125239581,-0.0511222015260226,-0.042590078813297,-0.0100358876539325,0.00883899691271983,-0.00206648301708427,"Roofing Contractors","2"
"Oxford",238170,0,0,7,10,8,0,0,2,2,4,4,4,5,3,2,2,0.0000546045267152647,0.209016240856619,NA,NA,-0.221629458448829,-0.275220336322304,-0.129449436703876,NA,NA,0.201124433981431,0.0844717711976986,-0.129449436703876,0.0151220447022491,NA,NA,-0.0193166323343661,-0.0611672489856608,-0.0722259429344139,-0.0938622689649482,-0.0846539834140437,-0.0795211371711166,-0.0371981689689995,-0.0184828325111344,-0.00496879835686449,"Siding Contractors","2"
"Oxford",238190,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0.0000546045267152647,0.131292710885995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Other Foundation, Structure, and Building Exterior Contractors","2"
"Oxford",238210,91,76,74,108,113,111,114,138,146,89,85,88,103,100,98,91,0.00267562180904797,0.426152635733137,0.0405340999366606,0.0844717711976986,0.132738008574303,0.062149918355791,-0.0466281759712321,-0.0519763113049868,-0.0504549717941074,-0.0568264183097653,-0.0728939207766308,0.0194530130978459,-0.0156501488822632,-0.00315587004409845,0.0138783026262179,0.0335788328641538,0.000675563576649107,-0.0255877566060951,-0.0440550562511731,-0.0375018373605521,-0.0374383777405175,-0.00439662357449033,0.0262946914018358,-0.00212699991437326,"Electrical Contractors","2"
"Oxford",238220,0,0,239,214,220,268,293,283,208,162,169,190,180,171,191,186,0.00521473230130778,0.678374718912855,NA,NA,0.0343742651379082,-0.00567144336153957,-0.0593707776933634,-0.0880933513812912,-0.0829834027418562,-0.0865238476901075,-0.0384174908050234,0.0334837932174135,-0.00504677159180242,NA,NA,0.0213134403928457,-0.0086312918993745,-0.0248537451928297,-0.0425614878156853,-0.0404328625471547,-0.0368716899719312,-0.00276126244948094,0.0244970863507279,-0.00122965555381755,"Plumbing, Heating, and Air-Conditioning Contractors","2"
"Oxford",238290,0,0,70,35,39,101,41,40,39,31,36,37,38,38,37,38,0.0010101837442324,0.957800557992243,NA,NA,-0.105887039342019,0.0218786193083873,-0.0448767491326543,-0.186427565463851,-0.0203215082745134,-0.0102062183130115,-0.00518162610090001,0.036019681902083,0.00301914339683385,NA,NA,0.0552046323275921,0.0512292709471367,0.0313543595436054,0.00269036562099467,0.00364741813456582,-0.0167290687806653,-0.0221030114624625,-0.00121280036652882,-0.00422251116022792,"Other Building Equipment Contractors","2"
"Oxford",238310,0,0,12,22,30,27,12,10,7,8,7,11,7,8,9,9,0.000245720370218691,0.137858529351347,NA,NA,-0.0358074959973728,-0.20469251129393,-0.232296100725245,-0.236609317025472,-0.017251730343854,-0.0688500849051623,0.0270660870893518,0.0238362555396097,0.00482900055450304,NA,NA,0.013127276897086,-0.0436013463030828,-0.0849108574165407,-0.114945961261842,-0.104654035658148,-0.0785510554099847,-0.0290285242402523,0.0205075219859892,-0.00418313215305281,"Drywall and Insulation Contractors","2"
"Oxford",238320,0,0,89,118,93,75,73,84,48,50,40,33,48,36,35,34,0.000955579217517132,0.688683975142678,NA,NA,-0.0114973091078648,-0.164643519691442,-0.116722004772835,-0.11813979377828,-0.146824813725252,-0.105887039342019,-0.055912488705098,-0.0688500849051623,-0.00867241519611994,NA,NA,0.00912824062182782,-0.0413882823644037,-0.0658511315573983,-0.0903691861333789,-0.083128767073463,-0.0649422863082648,-0.0180876376344953,0.0101769601403636,-0.00336432100322312,"Painting and Wall Covering Contractors","2"
"Oxford",238330,0,0,0,0,0,0,0,0,0,0,0,0,8,16,12,12,0.000327627160291588,0.577813785834741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Flooring Contractors","2"
"Oxford",238340,4,5,1,2,4,9,16,7,2,4,2,4,2,1,5,4,0.000136511316788162,0.326017484484583,0.176079022524674,0.261914688960386,0.475773161594552,0,0,-0.259785655025693,-0.242141716744801,-0.221629458448829,-0.129449436703876,0.0456395525912732,-0.0508286546334997,0.077662868925946,0.0666463607322825,0.0447155899979914,-0.0249440080989413,-0.0737775740216997,-0.1072887076601,-0.0976051192153542,-0.080177097683085,-0.0259516276857226,0.0237174663138744,-0.0121797118050164,"Tile and Terrazzo Contractors","2"
"Oxford",238350,0,0,21,17,14,39,31,45,43,38,37,17,12,20,8,7,0.000218418106861059,0.210969850133356,NA,NA,0.164658615779657,0.203937402586085,0.221043432833624,-0.0104735134591291,-0.113216823186485,-0.232296100725245,-0.141950568281255,-0.267746800305825,-0.0398250205264011,NA,NA,0.0231067317605118,-0.0396127890780508,-0.0728940150678136,-0.099234429137713,-0.081712830271893,-0.0585873657302978,-0.00889617648815755,0.031291163471509,-0.00207129569259998,"Finish Carpentry Contractors","2"
"Oxford",238390,0,0,2,2,0,5,10,10,0,0,0,0,0,0,0,0,0,0,NA,NA,0.379729661461215,-1,NA,-1,-1,-1,NA,NA,-0.047870595801855,NA,NA,0.0561121618857223,0.021390467729183,0.00939183292074164,-0.0239039844133645,-0.0458655607832965,-0.0434110566606944,-0.0119831060842501,0.00250484402775464,-0.00481223116329447,"Other Building Finishing Contractors","2"
"Oxford",238910,80,88,47,37,49,93,68,120,100,59,67,90,83,54,59,54,0.00161083353810031,0.619706013000652,0.0305726016404724,-0.0502588658235994,0.206192649656287,0.219999507026902,0.0378418669496365,-0.0634771656550294,0.0576615571948691,-0.0710777418109187,-0.115946084557505,0,-0.0164221138505357,0.133052441204059,0.137835830837444,0.0652341696603747,0.0110125699006907,-0.0204592231086066,-0.0462287771332093,-0.0315456586494011,-0.0404653670770994,0.0113707300390473,0.0388302854002385,-0.0146375577647601,"Site Preparation Contractors","2"
"Oxford",238990,0,0,73,57,57,50,53,54,47,51,39,35,36,18,20,18,0.000546045267152647,0.287273377632792,NA,NA,-0.0585133202777995,-0.0378459761930472,-0.0219995286769676,-0.0484778103937653,-0.0796385175581451,-0.0778920885182722,-0.174656131150936,-0.170737619768223,-0.0182301893514243,NA,NA,0.0368165624726984,-0.00432590246677178,-0.0235884724671477,-0.051871315332937,-0.0403677372311713,-0.0261799620894435,0.019917523621134,0.0466907383180108,0.000656050546911142,"All Other Specialty Trade Contractors","2"
"Oxford",311811,60,35,34,34,31,35,23,37,49,49,24,15,20,20,35,33,0.000955579217517132,1.8418399134566,-0.102192231762875,-0.0805418677200478,0.0170552861710354,0.0758294599404643,0.0958897810408448,-0.0726821076224163,-0.0819365774154726,-0.115769167610088,-0.164076021558898,-0.0650801238515298,-0.00943468106246387,0.0197706092492509,0.0124679531522343,-0.0271645232675916,-0.0409599597558826,-0.0249425937114004,-0.017572598155461,-0.00791344087288193,-0.0101708748970726,0.0300657097175754,0.028968011834851,0.00240871947445652,"Retail Bakeries","3"
"Oxford",327320,38,32,36,37,25,26,67,67,76,63,63,63,67,34,61,56,0.00166543806481557,2.72933843995244,-0.0730891832369261,0.159270981489025,0.132281627278412,0.154841477375171,0.203040112673227,0.193640209727131,-0.0122361011823259,0,-0.148601138785859,-0.00643140187479585,-0.0165286399071252,0.012378100479681,0.0202300251877072,0.00713743035578962,-0.0422301774217752,-0.0658276500200645,-0.083669032433268,-0.0791371575604792,-0.0686912979163805,-0.0223342211854016,0.0000351469141877114,-0.00555601376297799,"Ready-Mix Concrete Manufacturing","3"
"Oxford",327390,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,0.096969696969697,-0.000449135595569805,0.0179041680591296,0.0179666404252203,-0.0288644377126981,-0.0569320347235215,-0.0692912152621645,-0.0712213637564876,-0.0623495361055955,-0.00888738596445837,0.0201772796072586,-0.0032903877737197,"Other Concrete Product Manufacturing","3"
"Oxford",332322,28,25,39,41,35,39,40,230,202,35,35,0,0,0,0,0,0,0,0.0685167022962101,0.0985605433061179,0.426043080918726,0.375667580160597,0,-0.0214101938282991,-1,-1,-1,-1,-0.173243651289166,-0.0422119954996493,-0.00934541559521507,0.017261488322537,-0.0176039336038861,-0.033828403872902,-0.0375238479063776,-0.0267323489396144,-0.0293833238629359,0.00436725634028257,0.021705912329083,0.00246633407902454,"Sheet Metal Work Manufacturing","3"
"Oxford",332710,42,52,26,54,20,22,21,20,21,17,17,18,18,21,10,11,0.000273022633576324,0.132683628149862,-0.121312035036235,-0.165851851386485,-0.0511199199452508,-0.172124353918793,-0.0319812149975186,-0.0502588658235994,-0.0303597339044209,-0.0208516376390232,0,-0.100688357722425,0.0115450525835022,-0.0179223478311635,0.0119700867634462,0.0200754282285871,-0.00846153740020572,-0.0333318419829867,-0.0250551980187044,-0.0237035647502338,-0.0124607637158994,0.0118710830566202,0.0301601690643176,0.00140557108062614,"Machine Shops","3"
"Oxford",339116,3,3,6,3,3,6,3,3,3,3,3,3,3,3,3,3,0.000081906790072897,0.230441386238803,0.148698354997035,0,-0.129449436703876,0,0,-0.129449436703876,0,0,0,0,-0.00497265120095644,0.00834560972071197,0.00674525254636094,0.00390935001889448,-0.0082051131939811,-0.0119151834109573,-0.0187570690644714,-0.00962149074981578,-0.0223759460204186,-0.0148065161398885,-0.00894039606974439,-0.00272093291779052,"Dental Laboratories","3"
"Oxford",339950,38,38,35,40,38,38,40,42,40,29,18,38,18,18,38,36,0.00103748600759003,1.69229535284677,0,0.0103114593179361,0.0371372893366482,0,-0.0526229054444388,-0.13881237266311,-0.0102062183130115,-0.15587912015589,-0.147601841596174,0.0555458916484839,-0.0102264863708049,0.00450594301164209,0.018832450141657,0.0146607040418625,-0.0181085840384354,-0.0366515518106146,-0.0474049750277312,-0.0504164003036081,-0.0483265551097918,-0.01704198574448,0.00688446768482831,-0.00395349998130417,"Sign Manufacturing","3"
"Oxford",423110,0,0,6,6,7,7,7,38,33,40,35,4,4,7,4,3,0.000109209053430529,0.107684651304619,NA,NA,0.446526749888147,0.406282388387635,0.417073544638086,0.379729661461215,-0.105887039342019,-0.362536564530846,-0.266640672603468,-0.369042655519807,-0.0654971960385657,NA,NA,0.0101878009346525,0.00535532855386434,-0.0116803666627446,-0.01850376972296,0.00240909330316774,-0.0174752918080552,-0.0031222927370208,0.0219218248151105,0.000130077585763668,"Automobile and Other Motor Vehicle Merchant Wholesalers","4"
"Oxford",423120,0,0,19,16,18,19,12,5,4,8,8,14,12,12,7,8,0.000191115843503426,0.109648495462134,NA,NA,-0.234327091888254,-0.242141716744801,-0.149716999582806,-0.158861954069985,0.0313103064775451,0.191357898167092,0.245730939615517,-0.0263528193848319,0.026803498595768,NA,NA,0.0179600244408054,0.000286365992281823,-0.00698621495942953,-0.00118329762723224,0.00642483248339443,-0.012367671258297,0.0078458281244409,0.017408389027564,0.000510158402601128,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","4"
"Oxford",423130,0,0,151,155,169,170,163,160,156,146,144,163,141,137,137,135,0.00374041007999563,12.233893701901,NA,NA,0.0116460894145067,0.00128700554779182,-0.0288345352249828,-0.032652053330927,0,-0.0249658519641908,-0.0256405675762725,-0.0126445169312794,-0.00293347192156503,NA,NA,0.0378078265246737,0.0203372611505972,-0.0144864606165792,-0.0188884164958006,0.000899716445578624,0.0147073389344805,0.0355689743057153,0.0401878390144854,0.00262094753530383,"Tire and Tube Merchant Wholesalers","4"
"Oxford",423140,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,0.0545454545454546,NA,NA,0.0131338511246002,-0.0140413220510014,-0.00150326385618915,0.00301552700356411,0.0354533757032083,-0.00665522589149747,0.0211173536808766,0.0248811885113565,0.00258066467521357,"Motor Vehicle Parts (Used) Merchant Wholesalers","4"
"Oxford",423310,0,0,2,2,2,3,2,34,35,14,13,15,12,20,21,18,0.000573347530510279,0.633363705611021,NA,NA,0.762340347832317,0.772587203405244,0.475773161594552,0.340801291208457,0.496277869738845,-0.18802909842849,-0.105887039342019,0.0844717711976986,-0.0345255178018435,NA,NA,0.00407992923018496,-0.0480619212088323,-0.0790187555199866,-0.0917266569797545,-0.0797765148514121,-0.0631104604773841,-0.0108616193444012,0.0194063582356478,-0.00209198631645655,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","4"
"Oxford",423320,0,0,0,16,2,2,3,2,4,2,2,0,0,0,0,0,0,0,NA,NA,NA,-0.242141716744801,0,0,-1,-1,-1,-1,-0.141051968786458,NA,NA,0.0448771856865062,0.0079515945296218,-0.0282865025151728,-0.0615721390202377,-0.0798115178036719,-0.0605915437186124,-0.0440224518945052,-0.0240907816647269,-0.00817510799257344,"Brick, Stone, and Related Construction Material Merchant Wholesalers","4"
