"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Oxford",113110,0,2,2,2,3,2,2,3,3,2,2,3,0,0,2,1,0.0000546045267152647,1.61049628186875,NA,0,0.0844717711976986,0.0844717711976986,-0.0778920885182722,0,0.0844717711976986,-1,-1,0,-0.0748149501058801,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"Oxford",113210,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,0.127272727272727,0.00435177455787406,-0.030879109359302,-0.00458022676013836,-0.0432895837550074,-0.031739028631201,-0.0524770100832118,-0.0567437525115209,-0.067253657547548,0.00748069593271983,-0.0168691394143877,-0.0017996195779685,"Forest Nurseries and Gathering Forest Products","1"
"Oxford",113310,56,104,89,74,55,55,45,34,36,25,27,30,24,21,19,19,0.000518743003795015,1.21501727032734,-0.00359721556271031,-0.154262018489713,-0.175068700149396,-0.134206828516334,-0.145886740885255,-0.132638352340146,-0.0778920885182722,-0.0672903610593467,-0.102192231762875,-0.0534082426070144,0.00386226404653741,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"Oxford",115111,13,13,24,16,13,16,16,19,19,16,22,25,24,26,18,18,0.000491440740437382,26.0583924594248,0.0424022162772979,0.0424022162772979,-0.0456482551889928,0.034967527040807,0.0424022162772979,0.0657627566354742,0.0933620739432781,0.0478316883027574,0.0647409304447011,0.0238362555396097,0.00397103788519375,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"Oxford",115112,46,40,38,29,24,34,42,27,32,23,34,34,27,27,35,36,0.000955579217517132,10.253820331207,-0.0586649772894917,0.00980579767348533,-0.0660663284484188,0.0198831017109444,-0.00847579903530127,0,-0.0413812366370623,0,-0.0334089775341186,0.087597101915158,0.00708405886437573,-0.0185567385533889,-0.0046244757010675,-0.020016783644261,-0.0269250649278132,-0.0116743219570268,-0.000214065787211282,-0.00395456124753391,-0.0105660366397394,-0.0120546514330737,-0.00962611641928235,0.00094539315949198,"Soil Preparation, Planting, and Cultivating","1"
"Oxford",115113,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,0.00606060606060607,-0.0687717349595794,-0.0873250438734872,-0.0830506092053901,-0.0841995775590554,-0.0900154736082747,-0.077989070841777,-0.0365276037067912,-0.00353656365876653,0.0355246952845656,0.0189536358848406,0.0133459943258337,"Crop Harvesting, Primarily by Machine","1"
"Oxford",115114,0,0,0,0,0,25,28,30,35,29,35,31,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.0696103757250688,0.0205651463032119,-1,-1,-1,-0.126476934456759,0.0226047410136045,0.0515133062460287,0.044693819471918,0.0289914274432714,0.0384556866432733,0.0322905220003407,0.0199204087445732,-0.0142831189776638,-0.0036239261982951,-0.014809537711573,-0.00636940635529576,"Postharvest Crop Activities (except Cotton Ginning)","1"
"Oxford",115115,0,6,6,0,0,0,0,2,0,2,12,2,3,2,2,3,0.0000546045267152647,0.599549072470717,NA,-1,-0.197258438239769,NA,NA,NA,NA,0.0844717711976986,NA,0,0.0509615214981051,0.0224618148401294,0.0795802280508013,0.11126453515473,0.0379677927120816,0.0878560042362642,0.0757631853681364,0.0175079815816026,-0.0127704752001436,0.0741708078849261,0.00707548049293916,-0.00527266820799863,"Farm Labor Contractors and Crew Leaders","1"
"Oxford",115116,0,0,0,0,3,2,4,0,3,0,3,10,4,13,0,0,0,0,NA,NA,NA,NA,-1,0.0844717711976986,0.201124433981431,NA,0.340801291208457,NA,0.0246876006763709,-0.0388283764332974,-0.0313720980526146,-0.0302923790645034,-0.0496133829315457,-0.0229722020463364,-0.024287725988323,-0.00578502194111241,0.0265100107832095,0.048813572992473,0.070593061187423,0.0118804493586059,"Farm Management Services","1"
"Oxford",115210,15,7,7,7,3,0,0,0,0,2,3,3,2,2,2,4,0.0000546045267152647,0.325610823181931,-1,-1,-1,-1,-0.0778920885182722,NA,NA,NA,NA,0,0.145926618718293,-0.010462077044464,-0.0213953364632048,-0.0157641594517723,-0.0101749214611414,0.000722842556007297,-0.00508454307264261,-0.00474564541590639,-0.0178225088868205,-0.0048675369725466,-0.00946997515336001,0.000756437629008229,"Support Activities for Animal Production","1"
