"Description","People(+)","Avg Wage","Net Gain"
"Corporate, Subsidiary, and Regional Managing Offices","1,114","$ 114,954","$ 128,058,756"
"Colleges, Universities, and Professional Schools","777","$ 61,113","$ 47,484,801"
"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","218","$ 126,209","$ 27,513,562"
"Data Processing, Hosting, and Related Services","238","$ 98,652","$ 23,479,176"
"Internet Publishing and Broadcasting and Web Search Portals","73","$ 197,549","$ 14,421,077"
"Software Publishers","95","$ 147,298","$ 13,993,310"
"Aircraft Manufacturing","133","$ 104,448","$ 13,891,584"
"Real Estate Credit","120","$ 95,163","$ 11,419,560"
"Scheduled Passenger Air Transportation","145","$ 77,825","$ 11,284,625"
"Portfolio Management","40","$ 270,038","$ 10,801,520"
