"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Meridian",221122,457,467,680,456,513,487,465,445,463,458,472,453,606,717,676,717,0.00905826231441282,2.90980815205921,0.0127973404209771,-0.000858002121807644,-0.0813073968796579,0.00305149527624549,-0.0224260445266928,-0.00623749306657218,-0.00521540830601386,0.0637082378620086,0.0914092567840257,0.080976477402638,0.0119754488460452,0.00397415204620954,0.00905167697371256,-0.00857608322547931,0.00756772481647316,-0.00879517368993743,-0.00300427243420553,-0.00493859544286812,-0.00893798652706612,-0.0177839130269821,-0.00325109872247586,-0.00173584219971671,"Electric Power Distribution","2"
"Meridian",221210,55,52,38,38,23,22,26,46,49,34,40,23,25,21,21,21,0.000281395722785014,0.382137745133092,-0.167446792598127,-0.129449436703876,0.0389504774898828,0.0521617188849774,0.0813099920886575,0.127009202097925,-0.0242222800095103,-0.114810129745002,-0.15587912015589,-0.0918698897128415,-0.00277013018815244,-0.0380048317633314,-0.0182667642219477,-0.00467241199239021,0.0106949822867344,0.0196407563844936,0.0198280770252894,0.0211880503494406,0.00566118421095685,0.00764192639724892,0.00626758289967677,0.00401907316452788,"Natural Gas Distribution","2"
"Meridian",221320,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0.0000401993889692877,0.756685871158391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00253488678074909,-0.0342709429848844,-0.00824770510709882,0.0485154642942625,0.0134796678573426,0.00845132564978601,0.0339726694848748,0.000658801553888866,-0.0346577532675675,-0.0195743228804236,-0.0012473621349098,"Sewage Treatment Facilities","2"
"Meridian",236115,0,0,252,266,255,333,213,352,238,190,156,141,141,121,113,102,0.00151417698450984,1.02454668873068,NA,NA,0.0691248510693221,-0.0219995286769676,-0.0571498291464968,-0.140717290560292,-0.0791945060228477,-0.167210406072966,-0.126542692323418,-0.0987091366750108,-0.01946066518486,NA,NA,-0.0702772358901366,-0.131423776296575,-0.181408473554696,-0.128824140498976,-0.124726669920086,-0.104369442145774,-0.0416141559354779,0.00948375629943077,-0.00184079190270586,"New Single-Family Housing Construction (except Operative Builders)","2"
"Meridian",236116,0,0,0,0,0,0,30,0,2,26,14,15,15,14,30,33,0.000401993889692877,1.42961559025298,NA,NA,NA,NA,NA,NA,-0.129449436703876,NA,0.475773161594552,0.0290336610711879,0.0194143440647935,NA,NA,0.00926617975999422,-0.0311465911306019,-0.0668991236570433,-0.098124823803053,-0.112501108358289,-0.101399258701483,-0.0498689204109132,0.00416646481075222,-0.00691030729524897,"New Multifamily Housing Construction (except Operative Builders)","2"
"Meridian",236117,0,0,44,8,10,37,33,120,149,44,57,60,56,14,11,8,0.000147397759554055,0.170969302821457,NA,NA,0.222209665555242,0.794813205708548,0.344901677545219,0.0902714163152529,0.127009202097925,-0.141379296515511,-0.376856092231271,-0.242141716744801,-0.053898516234774,NA,NA,0.0473957402144416,-0.0611339342437923,-0.0930869700941807,-0.183428401875412,-0.17914865254666,-0.125392805731728,-0.036105201850928,0.0030245869237302,-0.00929602089129456,"New Housing Operative Builders","2"
"Meridian",236118,0,0,38,71,80,136,117,47,52,46,63,54,37,39,30,28,0.000401993889692877,0.15307960545057,NA,NA,0.0434288783629189,-0.0603870385933266,-0.104772181811936,-0.142645704247032,-0.14327472495069,-0.0467193597349423,-0.055912488705098,-0.0819365774154726,-0.0113096629677056,NA,NA,0.0844589204876123,0.0336319123170066,0.0163602052175382,-0.0597201563493032,-0.0533944019009677,-0.0171423363724947,0.0212611278790602,0.034453929275152,-0.0023409232114637,"Residential Remodelers","2"
"Meridian",236220,992,2332,2374,4072,3826,3792,3405,2042,1514,1415,1531,1590,2127,3274,2164,2097,0.0289971592431795,6.63903268124369,0.307589219340218,0.0786429618189519,-0.0296799517823612,-0.17952827098471,-0.180399348718682,-0.16589375574461,-0.141271253136793,0.00818991868429086,0.166784255044862,0.0886797961721388,-0.00627011973988036,-0.00714646446311129,0.0106980925644418,0.0114728446363073,-0.0171271311761644,-0.0336372595374173,-0.0572295457707293,-0.0768679456307991,-0.0609268796238819,-0.0291464332882491,0.00266060467058793,-0.00457855399796185,"Commercial and Institutional Building Construction","2"
"Meridian",237110,0,0,60,51,41,61,51,56,40,36,42,30,32,25,39,38,0.00052259205660074,0.398249224301651,NA,NA,-0.0137038103409706,-0.0474276679668317,-0.0256752632795412,-0.0719232539940552,-0.100688357722425,-0.105887039342019,-0.0897178984869599,0.0161373647415957,-0.00696809219224784,0.552516022317986,0.533090904189878,0.00747264165608597,-0.0337940648132528,-0.0499854692524051,-0.0768594229593879,-0.0582836849648021,-0.0486934018810061,-0.0120689021554692,0.012594424194974,-0.0548884003598281,"Water and Sewer Line and Related Structures Construction","2"
"Meridian",237210,25,46,11,21,20,27,22,13,14,11,9,9,4,4,4,4,0.0000535991852923836,0.249072749988595,0.0155112783974816,-0.137154636371898,0.0339752265319502,-0.0778920885182722,-0.112695798633674,-0.197258438239769,-0.163696401067,-0.210006845910672,-0.221629458448829,-0.183166649541798,-0.0238867336088329,-0.0278100579559709,-0.035802587654071,0.0211407474940626,-0.0414334807635222,-0.0951438059125557,-0.139362058273948,-0.0669613982930644,-0.179603372862608,-0.130033136902728,-0.0952770619488675,-0.0144929665903639,"Land Subdivision","2"
