"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Tupelo",113110,19,18,15,16,12,12,13,23,95,88,22,19,19,20,22,19,0.000185459940652819,5.5980461447655,-0.0878095335085057,-0.0630116968195806,0.0892493649129438,0.427975395707363,0.489567833027249,0.128881320730198,0.0788524439623715,-0.0374902156876502,-0.267746800305825,-0.242141716744801,-0.0294781129943355,-0.0217885891694541,-0.0749591160635882,-0.123335540974295,-0.141416476503785,-0.13481024636104,-0.0555280881251872,-0.0452497941748783,0.0286845993690428,0.0715759709695671,0.113106000262341,0.0204101807336819,"Timber Tract Operations","1"
"Tupelo",113310,542,354,385,406,418,460,443,423,422,438,407,401,414,367,339,330,0.00285776908551389,6.83284962446337,-0.032275560714396,0.0458757485838837,0.0190040909988343,0.00776038781126154,0.0093913198497102,-0.0241853913915314,-0.019724543300397,-0.00429200395532681,-0.0275422928201591,-0.0499529417355887,-0.0054880890810064,-0.0323767471032659,-0.029264673192537,-0.0368323005502572,-0.0650563404589438,-0.0458533409412186,-0.0424282563476802,-0.0349957334460181,-0.0230527635649391,0.00189212382945203,0.000936574019605674,0.00412377005950711,"Logging","1"
"Tupelo",115111,1,9,9,9,7,5,4,4,5,3,5,10,5,5,0,0,0,0,0.379729661461215,-0.149716999582806,-0.149716999582806,-0.1109104638678,-0.15587912015589,0,0.201124433981431,0.0456395525912732,0,-1,-0.0563683720090746,-0.0172284048840903,-0.0371850708694993,-0.00451222839357612,-0.0515777329680263,-0.0520985394505407,-0.0445172540921922,-0.0247410483628457,-0.0162322456235723,0.0174078686890706,-0.00305549144650863,0.00326786697498263,"Cotton Ginning","1"
"Tupelo",115112,2,2,3,17,6,3,0,2,4,6,9,11,9,12,26,39,0.000219179929862422,2.41367863798281,0.0844717711976986,-1,-0.0778920885182722,-0.251275207767959,0,0.245730939615517,NA,0.350960038520614,0.245730939615517,0.340801291208457,0.0858842391243593,-0.0185567385533889,-0.0046244757010675,-0.020016783644261,-0.0269250649278132,-0.0116743219570268,-0.000214065787211282,-0.00395456124753391,-0.0105660366397394,-0.0120546514330737,-0.00962611641928235,0.00094539315949198,"Soil Preparation, Planting, and Cultivating","1"
"Tupelo",115113,0,0,0,0,32,35,35,35,31,20,20,36,17,14,14,13,0.000118019962233612,6.97466622160113,NA,NA,NA,NA,-0.0897178984869599,-0.105887039342019,0.00565007721003496,-0.13448185816889,-0.146991677650844,-0.0688500849051623,-0.0140619436834653,-0.0687717349595794,-0.0873250438734872,-0.0830506092053901,-0.0841995775590554,-0.0900154736082747,-0.077989070841777,-0.0365276037067912,-0.00353656365876653,0.0355246952845656,0.0189536358848406,0.0133459943258337,"Crop Harvesting, Primarily by Machine","1"
"Tupelo",115114,9,9,7,7,46,40,29,29,32,48,49,52,72,35,40,33,0.000337199892096035,1.16211422418044,0.347607739026621,0.263662499939897,0.328801138608392,0.355221826800962,0.00854825230393241,0.041423126681444,0.123882914800888,0.19946312134964,0.0180840023201989,-0.0358074959973728,-0.0392582942210321,0.0226047410136045,0.0515133062460287,0.044693819471918,0.0289914274432714,0.0384556866432733,0.0322905220003407,0.0199204087445732,-0.0142831189776638,-0.0036239261982951,-0.014809537711573,-0.00636940635529576,"Postharvest Crop Activities (except Cotton Ginning)","1"
"Tupelo",115115,61,34,44,39,14,2,12,0,0,0,0,0,0,0,0,0,0,0,-0.495175955282181,-0.18802909842849,-1,-1,-1,-1,-1,NA,NA,NA,0.0652896199184185,0.0224618148401294,0.0795802280508013,0.11126453515473,0.0379677927120816,0.0878560042362642,0.0757631853681364,0.0175079815816026,-0.0127704752001436,0.0741708078849261,0.00707548049293916,-0.00527266820799863,"Farm Labor Contractors and Crew Leaders","1"
"Tupelo",115116,1,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,0.0000252899919072026,0.600786953886355,0.245730939615517,0.0844717711976986,0,-0.055912488705098,0,0,0,0,0,0,-0.0159705659927773,-0.0388283764332974,-0.0313720980526146,-0.0302923790645034,-0.0496133829315457,-0.0229722020463364,-0.024287725988323,-0.00578502194111241,0.0265100107832095,0.048813572992473,0.070593061187423,0.0118804493586059,"Farm Management Services","1"
"Tupelo",115210,34,27,22,2,5,2,6,2,5,2,2,5,2,5,2,2,0.0000168599946048017,0.101414768055226,-0.43257271432842,-0.259785655025693,-0.380956079316154,0.201124433981431,-0.167446792598127,0,-0.0358074959973728,0,0,0,0.0428671843235038,-0.010462077044464,-0.0213953364632048,-0.0157641594517723,-0.0101749214611414,0.000722842556007297,-0.00508454307264261,-0.00474564541590639,-0.0178225088868205,-0.0048675369725466,-0.00946997515336001,0.000756437629008229,"Support Activities for Animal Production","1"
"Tupelo",115310,23,23,20,44,55,27,24,12,12,14,384,386,14,12,11,12,0.0000927299703264095,0.921860645503996,0.0325882661698758,0.00854825230393241,-0.0971195485525658,-0.228837835023239,-0.239405695074213,0.700566000834388,0.74291100693257,0.0313103064775451,0,-0.0470877063056446,0.022548157445572,-0.0207994187492784,-0.00491004767452907,-0.0458701586301814,-0.0695406709865404,-0.0605786643575354,-0.0430989528564568,-0.0478755868919902,-0.0189815602907255,-0.00557610103677941,0.0189488991755882,0.00345448753497003,"Forestry Support Activities","1"
